"censusdate","treatment","numericdate","abundance","month"
2013-03-13,"CC",15.777,5,3
2013-03-13,"EC",15.777,0,3
2013-03-13,"XC",15.777,3,3
2013-04-13,"CC",15.808,6.25,4
2013-04-13,"EC",15.808,0,4
2013-04-13,"XC",15.808,0.666666666666667,4
2013-05-11,"CC",15.836,5.5,5
2013-05-11,"EC",15.836,0,5
2013-05-11,"XC",15.836,0.333333333333333,5
2013-07-06,"CC",15.892,4.75,7
2013-07-06,"EC",15.892,0,7
2013-07-06,"XC",15.892,0.333333333333333,7
2013-09-14,"CC",15.962,4.75,9
2013-09-14,"EC",15.962,0,9
2013-09-14,"XC",15.962,0.333333333333333,9
2013-11-02,"CC",16.011,4,11
2013-11-02,"EC",16.011,0,11
2013-11-02,"XC",16.011,0.333333333333333,11
2013-12-29,"CC",16.068,5.25,12
2013-12-29,"EC",16.068,0,12
2013-12-29,"XC",16.068,0.666666666666667,12
2014-02-01,"CC",16.102,9,2
2014-02-01,"EC",16.102,0,2
2014-02-01,"XC",16.102,0.333333333333333,2
2014-03-01,"CC",16.13,7.5,3
2014-03-01,"EC",16.13,0,3
2014-03-01,"XC",16.13,0,3
2014-03-29,"CC",16.158,7.5,3
2014-03-29,"EC",16.158,0,3
2014-03-29,"XC",16.158,0,3
2014-04-26,"CC",16.186,7.5,4
2014-04-26,"EC",16.186,0.333333333333333,4
2014-04-26,"XC",16.186,0.333333333333333,4
2014-05-31,"CC",16.221,6.5,5
2014-05-31,"EC",16.221,0,5
2014-05-31,"XC",16.221,0.333333333333333,5
2014-06-28,"CC",16.249,6,6
2014-06-28,"EC",16.249,0,6
2014-06-28,"XC",16.249,0,6
2014-08-02,"CC",16.284,5.5,8
2014-08-02,"EC",16.284,0,8
2014-08-02,"XC",16.284,0,8
2014-08-30,"CC",16.312,5.25,8
2014-08-30,"EC",16.312,0,8
2014-08-30,"XC",16.312,0,8
2014-09-27,"CC",16.34,4.75,9
2014-09-27,"EC",16.34,0,9
2014-09-27,"XC",16.34,0,9
2014-10-25,"CC",16.368,4.5,10
2014-10-25,"EC",16.368,0,10
2014-10-25,"XC",16.368,0,10
2014-11-22,"CC",16.396,3.75,11
2014-11-22,"EC",16.396,0,11
2014-11-22,"XC",16.396,0,11
2015-01-17,"CC",16.452,6.25,1
2015-01-17,"EC",16.452,0,1
2015-01-17,"XC",16.452,1.33333333333333,1
2015-02-21,"CC",16.487,7.5,2
2015-02-21,"EC",16.487,0,2
2015-02-21,"XC",16.487,2.33333333333333,2
2015-03-26,"CC",16.52,5.5,3
2015-03-26,"EC",16.52,0,3
2015-03-26,"XC",16.52,0.333333333333333,3
2015-04-18,"CC",16.543,5.75,4
2015-04-18,"EC",16.543,1,4
2015-04-18,"XC",16.543,2.66666666666667,4
2015-05-16,"CC",16.571,7,5
2015-05-16,"EC",16.571,3,5
2015-05-16,"XC",16.571,5.33333333333333,5
2015-06-13,"CC",16.599,5.25,6
2015-06-13,"EC",16.599,3.33333333333333,6
2015-06-13,"XC",16.599,6.33333333333333,6
2015-07-18,"CC",16.634,5,7
2015-07-18,"EC",16.634,3.66666666666667,7
2015-07-18,"XC",16.634,6.33333333333333,7
2015-08-22,"CC",16.669,6,8
2015-08-22,"EC",16.669,3.66666666666667,8
2015-08-22,"XC",16.669,5.66666666666667,8
2015-09-12,"CC",16.69,5.25,9
2015-09-12,"EC",16.69,5,9
2015-09-12,"XC",16.69,7.66666666666667,9
2015-10-10,"CC",16.718,6.75,10
2015-10-10,"EC",16.718,5,10
2015-10-10,"XC",16.718,8.33333333333333,10
2015-11-14,"CC",16.753,8,11
2015-11-14,"EC",16.753,4.66666666666667,11
2015-11-14,"XC",16.753,7.66666666666667,11
2016-02-13,"CC",16.844,9,2
2016-02-13,"EC",16.844,4,2
2016-02-13,"XC",16.844,5.33333333333333,2
2016-03-19,"CC",16.879,7,3
2016-03-19,"EC",16.879,4,3
2016-03-19,"XC",16.879,8,3
2016-05-07,"CC",16.928,8.5,5
2016-05-07,"EC",16.928,6.33333333333333,5
2016-05-07,"XC",16.928,7.33333333333333,5
2016-06-04,"CC",16.956,7,6
2016-06-04,"EC",16.956,4,6
2016-06-04,"XC",16.956,6,6
2016-07-02,"CC",16.984,6.25,7
2016-07-02,"EC",16.984,3,7
2016-07-02,"XC",16.984,4.66666666666667,7
2016-08-06,"CC",17.019,5,8
2016-08-06,"EC",17.019,3.33333333333333,8
2016-08-06,"XC",17.019,4.33333333333333,8
2016-09-03,"CC",17.047,4.5,9
2016-09-03,"EC",17.047,4.33333333333333,9
2016-09-03,"XC",17.047,4,9
2016-10-01,"CC",17.075,4,10
2016-10-01,"EC",17.075,3.33333333333333,10
2016-10-01,"XC",17.075,4.66666666666667,10
2016-11-05,"CC",17.11,5,11
2016-11-05,"EC",17.11,2.33333333333333,11
2016-11-05,"XC",17.11,7,11
2017-01-07,"CC",17.173,5,1
2017-01-07,"EC",17.173,4,1
2017-01-07,"XC",17.173,8.33333333333333,1
2017-01-28,"CC",17.194,7,1
2017-01-28,"EC",17.194,3.66666666666667,1
2017-01-28,"XC",17.194,9.33333333333333,1
2017-02-25,"CC",17.222,7.25,2
2017-02-25,"EC",17.222,3,2
2017-02-25,"XC",17.222,8.33333333333333,2
2017-03-28,"CC",17.253,5,3
2017-03-28,"EC",17.253,6.33333333333333,3
2017-03-28,"XC",17.253,9.33333333333333,3
2017-04-29,"CC",17.285,5.75,4
2017-04-29,"EC",17.285,3.66666666666667,4
2017-04-29,"XC",17.285,11,4
2017-05-27,"CC",17.313,6.75,5
2017-05-27,"EC",17.313,3.33333333333333,5
2017-05-27,"XC",17.313,7.66666666666667,5
2017-06-24,"CC",17.341,4.25,6
2017-06-24,"EC",17.341,3.33333333333333,6
2017-06-24,"XC",17.341,4,6
2017-08-19,"CC",17.397,3.25,8
2017-08-19,"EC",17.397,4.33333333333333,8
2017-08-19,"XC",17.397,3.66666666666667,8
2017-09-14,"CC",17.423,3.75,9
2017-09-14,"EC",17.423,4.33333333333333,9
2017-09-14,"XC",17.423,5.33333333333333,9
2017-10-21,"CC",17.46,3,10
2017-10-21,"EC",17.46,3.33333333333333,10
2017-10-21,"XC",17.46,6.66666666666667,10
2017-11-18,"CC",17.488,3.75,11
2017-11-18,"EC",17.488,4.33333333333333,11
2017-11-18,"XC",17.488,4.33333333333333,11
