plot,censusdate,numericdate,treatment,dipos
4,3/13/2013,15.777,CC,3
11,3/13/2013,15.777,CC,6
14,3/13/2013,15.777,CC,4
17,3/13/2013,15.777,CC,7
6,3/13/2013,15.777,EC,0
13,3/13/2013,15.777,EC,0
18,3/13/2013,15.777,EC,0
5,3/13/2013,15.777,XC,3
7,3/13/2013,15.777,XC,1
24,3/13/2013,15.777,XC,5
4,4/13/2013,15.808,CC,6
11,4/13/2013,15.808,CC,3
14,4/13/2013,15.808,CC,5
17,4/13/2013,15.808,CC,11
6,4/13/2013,15.808,EC,0
13,4/13/2013,15.808,EC,0
18,4/13/2013,15.808,EC,0
5,4/13/2013,15.808,XC,2
7,4/13/2013,15.808,XC,0
24,4/13/2013,15.808,XC,0
4,5/11/2013,15.836,CC,5
11,5/11/2013,15.836,CC,5
14,5/11/2013,15.836,CC,7
17,5/11/2013,15.836,CC,5
6,5/11/2013,15.836,EC,0
13,5/11/2013,15.836,EC,0
18,5/11/2013,15.836,EC,0
5,5/11/2013,15.836,XC,1
7,5/11/2013,15.836,XC,0
24,5/11/2013,15.836,XC,0
4,7/6/2013,15.892,CC,4
11,7/6/2013,15.892,CC,5
14,7/6/2013,15.892,CC,7
17,7/6/2013,15.892,CC,3
6,7/6/2013,15.892,EC,0
13,7/6/2013,15.892,EC,0
18,7/6/2013,15.892,EC,0
5,7/6/2013,15.892,XC,1
7,7/6/2013,15.892,XC,0
24,7/6/2013,15.892,XC,0
4,9/14/2013,15.962,CC,4
11,9/14/2013,15.962,CC,6
14,9/14/2013,15.962,CC,2
17,9/14/2013,15.962,CC,7
6,9/14/2013,15.962,EC,0
13,9/14/2013,15.962,EC,0
18,9/14/2013,15.962,EC,0
5,9/14/2013,15.962,XC,0
7,9/14/2013,15.962,XC,1
24,9/14/2013,15.962,XC,0
4,11/2/2013,16.011,CC,3
11,11/2/2013,16.011,CC,4
14,11/2/2013,16.011,CC,4
17,11/2/2013,16.011,CC,5
6,11/2/2013,16.011,EC,0
13,11/2/2013,16.011,EC,0
18,11/2/2013,16.011,EC,0
5,11/2/2013,16.011,XC,0
7,11/2/2013,16.011,XC,1
24,11/2/2013,16.011,XC,0
4,12/29/2013,16.068,CC,3
11,12/29/2013,16.068,CC,6
14,12/29/2013,16.068,CC,8
17,12/29/2013,16.068,CC,4
6,12/29/2013,16.068,EC,0
13,12/29/2013,16.068,EC,0
18,12/29/2013,16.068,EC,0
5,12/29/2013,16.068,XC,1
7,12/29/2013,16.068,XC,1
24,12/29/2013,16.068,XC,0
4,2/1/2014,16.102,CC,5
11,2/1/2014,16.102,CC,10
14,2/1/2014,16.102,CC,13
17,2/1/2014,16.102,CC,8
6,2/1/2014,16.102,EC,0
13,2/1/2014,16.102,EC,0
18,2/1/2014,16.102,EC,0
5,2/1/2014,16.102,XC,0
7,2/1/2014,16.102,XC,1
24,2/1/2014,16.102,XC,0
4,3/1/2014,16.13,CC,7
11,3/1/2014,16.13,CC,6
14,3/1/2014,16.13,CC,10
17,3/1/2014,16.13,CC,7
6,3/1/2014,16.13,EC,0
13,3/1/2014,16.13,EC,0
18,3/1/2014,16.13,EC,0
5,3/1/2014,16.13,XC,0
7,3/1/2014,16.13,XC,0
24,3/1/2014,16.13,XC,0
4,3/29/2014,16.158,CC,7
11,3/29/2014,16.158,CC,4
14,3/29/2014,16.158,CC,11
17,3/29/2014,16.158,CC,8
6,3/29/2014,16.158,EC,0
13,3/29/2014,16.158,EC,0
18,3/29/2014,16.158,EC,0
5,3/29/2014,16.158,XC,0
7,3/29/2014,16.158,XC,0
24,3/29/2014,16.158,XC,0
4,4/26/2014,16.186,CC,7
11,4/26/2014,16.186,CC,5
14,4/26/2014,16.186,CC,7
17,4/26/2014,16.186,CC,11
6,4/26/2014,16.186,EC,0
13,4/26/2014,16.186,EC,1
18,4/26/2014,16.186,EC,0
5,4/26/2014,16.186,XC,0
7,4/26/2014,16.186,XC,1
24,4/26/2014,16.186,XC,0
4,5/31/2014,16.221,CC,2
11,5/31/2014,16.221,CC,8
14,5/31/2014,16.221,CC,9
17,5/31/2014,16.221,CC,7
6,5/31/2014,16.221,EC,0
13,5/31/2014,16.221,EC,0
18,5/31/2014,16.221,EC,0
5,5/31/2014,16.221,XC,0
7,5/31/2014,16.221,XC,1
24,5/31/2014,16.221,XC,0
4,6/28/2014,16.249,CC,4
11,6/28/2014,16.249,CC,5
14,6/28/2014,16.249,CC,9
17,6/28/2014,16.249,CC,6
6,6/28/2014,16.249,EC,0
13,6/28/2014,16.249,EC,0
18,6/28/2014,16.249,EC,0
5,6/28/2014,16.249,XC,0
7,6/28/2014,16.249,XC,0
24,6/28/2014,16.249,XC,0
4,8/2/2014,16.284,CC,6
11,8/2/2014,16.284,CC,4
14,8/2/2014,16.284,CC,6
17,8/2/2014,16.284,CC,6
6,8/2/2014,16.284,EC,0
13,8/2/2014,16.284,EC,0
18,8/2/2014,16.284,EC,0
5,8/2/2014,16.284,XC,0
7,8/2/2014,16.284,XC,0
24,8/2/2014,16.284,XC,0
4,8/30/2014,16.312,CC,6
11,8/30/2014,16.312,CC,5
14,8/30/2014,16.312,CC,6
17,8/30/2014,16.312,CC,4
6,8/30/2014,16.312,EC,0
13,8/30/2014,16.312,EC,0
18,8/30/2014,16.312,EC,0
5,8/30/2014,16.312,XC,0
7,8/30/2014,16.312,XC,0
24,8/30/2014,16.312,XC,0
4,9/27/2014,16.34,CC,6
11,9/27/2014,16.34,CC,4
14,9/27/2014,16.34,CC,4
17,9/27/2014,16.34,CC,5
6,9/27/2014,16.34,EC,0
13,9/27/2014,16.34,EC,0
18,9/27/2014,16.34,EC,0
5,9/27/2014,16.34,XC,0
7,9/27/2014,16.34,XC,0
24,9/27/2014,16.34,XC,0
4,10/25/2014,16.368,CC,6
11,10/25/2014,16.368,CC,5
14,10/25/2014,16.368,CC,3
17,10/25/2014,16.368,CC,4
6,10/25/2014,16.368,EC,0
13,10/25/2014,16.368,EC,0
18,10/25/2014,16.368,EC,0
5,10/25/2014,16.368,XC,0
7,10/25/2014,16.368,XC,0
24,10/25/2014,16.368,XC,0
4,11/22/2014,16.396,CC,5
11,11/22/2014,16.396,CC,3
14,11/22/2014,16.396,CC,4
17,11/22/2014,16.396,CC,3
6,11/22/2014,16.396,EC,0
13,11/22/2014,16.396,EC,0
18,11/22/2014,16.396,EC,0
5,11/22/2014,16.396,XC,0
7,11/22/2014,16.396,XC,0
24,11/22/2014,16.396,XC,0
4,1/17/2015,16.452,CC,6
11,1/17/2015,16.452,CC,12
14,1/17/2015,16.452,CC,4
17,1/17/2015,16.452,CC,3
6,1/17/2015,16.452,EC,0
13,1/17/2015,16.452,EC,0
18,1/17/2015,16.452,EC,0
5,1/17/2015,16.452,XC,0
7,1/17/2015,16.452,XC,4
24,1/17/2015,16.452,XC,0
4,2/21/2015,16.487,CC,5
11,2/21/2015,16.487,CC,13
14,2/21/2015,16.487,CC,6
17,2/21/2015,16.487,CC,6
6,2/21/2015,16.487,EC,0
13,2/21/2015,16.487,EC,0
18,2/21/2015,16.487,EC,0
5,2/21/2015,16.487,XC,0
7,2/21/2015,16.487,XC,7
24,2/21/2015,16.487,XC,0
4,3/26/2015,16.52,CC,5
11,3/26/2015,16.52,CC,6
14,3/26/2015,16.52,CC,6
17,3/26/2015,16.52,CC,5
6,3/26/2015,16.52,EC,0
13,3/26/2015,16.52,EC,0
18,3/26/2015,16.52,EC,0
5,3/26/2015,16.52,XC,0
7,3/26/2015,16.52,XC,0
24,3/26/2015,16.52,XC,1
4,4/18/2015,16.543,CC,5
11,4/18/2015,16.543,CC,7
14,4/18/2015,16.543,CC,5
17,4/18/2015,16.543,CC,6
6,4/18/2015,16.543,EC,0
13,4/18/2015,16.543,EC,2
18,4/18/2015,16.543,EC,1
5,4/18/2015,16.543,XC,5
7,4/18/2015,16.543,XC,1
24,4/18/2015,16.543,XC,2
4,5/16/2015,16.571,CC,10
11,5/16/2015,16.571,CC,6
14,5/16/2015,16.571,CC,5
17,5/16/2015,16.571,CC,7
6,5/16/2015,16.571,EC,3
13,5/16/2015,16.571,EC,3
18,5/16/2015,16.571,EC,3
5,5/16/2015,16.571,XC,7
7,5/16/2015,16.571,XC,5
24,5/16/2015,16.571,XC,4
4,6/13/2015,16.599,CC,5
11,6/13/2015,16.599,CC,6
14,6/13/2015,16.599,CC,6
17,6/13/2015,16.599,CC,4
6,6/13/2015,16.599,EC,2
13,6/13/2015,16.599,EC,4
18,6/13/2015,16.599,EC,4
5,6/13/2015,16.599,XC,8
7,6/13/2015,16.599,XC,7
24,6/13/2015,16.599,XC,4
4,7/18/2015,16.634,CC,7
11,7/18/2015,16.634,CC,5
14,7/18/2015,16.634,CC,3
17,7/18/2015,16.634,CC,5
6,7/18/2015,16.634,EC,4
13,7/18/2015,16.634,EC,3
18,7/18/2015,16.634,EC,4
5,7/18/2015,16.634,XC,9
7,7/18/2015,16.634,XC,5
24,7/18/2015,16.634,XC,5
4,8/22/2015,16.669,CC,8
11,8/22/2015,16.669,CC,5
14,8/22/2015,16.669,CC,7
17,8/22/2015,16.669,CC,4
6,8/22/2015,16.669,EC,3
13,8/22/2015,16.669,EC,2
18,8/22/2015,16.669,EC,6
5,8/22/2015,16.669,XC,7
7,8/22/2015,16.669,XC,5
24,8/22/2015,16.669,XC,5
4,9/12/2015,16.69,CC,6
11,9/12/2015,16.69,CC,6
14,9/12/2015,16.69,CC,5
17,9/12/2015,16.69,CC,4
6,9/12/2015,16.69,EC,5
13,9/12/2015,16.69,EC,5
18,9/12/2015,16.69,EC,5
5,9/12/2015,16.69,XC,9
7,9/12/2015,16.69,XC,5
24,9/12/2015,16.69,XC,9
4,10/10/2015,16.718,CC,6
11,10/10/2015,16.718,CC,10
14,10/10/2015,16.718,CC,4
17,10/10/2015,16.718,CC,7
6,10/10/2015,16.718,EC,5
13,10/10/2015,16.718,EC,5
18,10/10/2015,16.718,EC,5
5,10/10/2015,16.718,XC,9
7,10/10/2015,16.718,XC,7
24,10/10/2015,16.718,XC,9
4,11/14/2015,16.753,CC,8
11,11/14/2015,16.753,CC,11
14,11/14/2015,16.753,CC,5
17,11/14/2015,16.753,CC,8
6,11/14/2015,16.753,EC,4
13,11/14/2015,16.753,EC,5
18,11/14/2015,16.753,EC,5
5,11/14/2015,16.753,XC,5
7,11/14/2015,16.753,XC,9
24,11/14/2015,16.753,XC,9
4,2/13/2016,16.844,CC,10
11,2/13/2016,16.844,CC,10
14,2/13/2016,16.844,CC,9
17,2/13/2016,16.844,CC,7
6,2/13/2016,16.844,EC,3
13,2/13/2016,16.844,EC,4
18,2/13/2016,16.844,EC,5
5,2/13/2016,16.844,XC,6
7,2/13/2016,16.844,XC,7
24,2/13/2016,16.844,XC,3
4,3/19/2016,16.879,CC,7
11,3/19/2016,16.879,CC,9
14,3/19/2016,16.879,CC,7
17,3/19/2016,16.879,CC,5
6,3/19/2016,16.879,EC,3
13,3/19/2016,16.879,EC,4
18,3/19/2016,16.879,EC,5
5,3/19/2016,16.879,XC,11
7,3/19/2016,16.879,XC,9
24,3/19/2016,16.879,XC,4
4,5/7/2016,16.928,CC,8
11,5/7/2016,16.928,CC,10
14,5/7/2016,16.928,CC,6
17,5/7/2016,16.928,CC,10
6,5/7/2016,16.928,EC,5
13,5/7/2016,16.928,EC,7
18,5/7/2016,16.928,EC,7
5,5/7/2016,16.928,XC,9
7,5/7/2016,16.928,XC,5
24,5/7/2016,16.928,XC,8
4,6/4/2016,16.956,CC,8
11,6/4/2016,16.956,CC,9
14,6/4/2016,16.956,CC,5
17,6/4/2016,16.956,CC,6
6,6/4/2016,16.956,EC,4
13,6/4/2016,16.956,EC,2
18,6/4/2016,16.956,EC,6
5,6/4/2016,16.956,XC,6
7,6/4/2016,16.956,XC,6
24,6/4/2016,16.956,XC,6
4,7/2/2016,16.984,CC,7
11,7/2/2016,16.984,CC,7
14,7/2/2016,16.984,CC,6
17,7/2/2016,16.984,CC,5
6,7/2/2016,16.984,EC,4
13,7/2/2016,16.984,EC,1
18,7/2/2016,16.984,EC,4
5,7/2/2016,16.984,XC,5
7,7/2/2016,16.984,XC,5
24,7/2/2016,16.984,XC,4
4,8/6/2016,17.019,CC,8
11,8/6/2016,17.019,CC,6
14,8/6/2016,17.019,CC,4
17,8/6/2016,17.019,CC,2
6,8/6/2016,17.019,EC,4
13,8/6/2016,17.019,EC,2
18,8/6/2016,17.019,EC,4
5,8/6/2016,17.019,XC,5
7,8/6/2016,17.019,XC,5
24,8/6/2016,17.019,XC,3
4,9/3/2016,17.047,CC,6
11,9/3/2016,17.047,CC,4
14,9/3/2016,17.047,CC,4
17,9/3/2016,17.047,CC,4
6,9/3/2016,17.047,EC,6
13,9/3/2016,17.047,EC,1
18,9/3/2016,17.047,EC,6
5,9/3/2016,17.047,XC,4
7,9/3/2016,17.047,XC,4
24,9/3/2016,17.047,XC,4
4,10/1/2016,17.075,CC,4
11,10/1/2016,17.075,CC,4
14,10/1/2016,17.075,CC,5
17,10/1/2016,17.075,CC,3
6,10/1/2016,17.075,EC,4
13,10/1/2016,17.075,EC,3
18,10/1/2016,17.075,EC,3
5,10/1/2016,17.075,XC,4
7,10/1/2016,17.075,XC,5
24,10/1/2016,17.075,XC,5
4,11/5/2016,17.11,CC,5
11,11/5/2016,17.11,CC,4
14,11/5/2016,17.11,CC,6
17,11/5/2016,17.11,CC,5
6,11/5/2016,17.11,EC,2
13,11/5/2016,17.11,EC,2
18,11/5/2016,17.11,EC,3
5,11/5/2016,17.11,XC,6
7,11/5/2016,17.11,XC,6
24,11/5/2016,17.11,XC,9
4,1/7/2017,17.173,CC,6
11,1/7/2017,17.173,CC,2
14,1/7/2017,17.173,CC,5
17,1/7/2017,17.173,CC,7
6,1/7/2017,17.173,EC,4
13,1/7/2017,17.173,EC,1
18,1/7/2017,17.173,EC,7
5,1/7/2017,17.173,XC,8
7,1/7/2017,17.173,XC,3
24,1/7/2017,17.173,XC,14
4,1/28/2017,17.194,CC,7
11,1/28/2017,17.194,CC,6
14,1/28/2017,17.194,CC,7
17,1/28/2017,17.194,CC,8
6,1/28/2017,17.194,EC,3
13,1/28/2017,17.194,EC,5
18,1/28/2017,17.194,EC,3
5,1/28/2017,17.194,XC,8
7,1/28/2017,17.194,XC,13
24,1/28/2017,17.194,XC,7
4,2/25/2017,17.222,CC,8
11,2/25/2017,17.222,CC,6
14,2/25/2017,17.222,CC,6
17,2/25/2017,17.222,CC,9
6,2/25/2017,17.222,EC,4
13,2/25/2017,17.222,EC,2
18,2/25/2017,17.222,EC,3
5,2/25/2017,17.222,XC,8
7,2/25/2017,17.222,XC,9
24,2/25/2017,17.222,XC,8
4,3/28/2017,17.253,CC,4
11,3/28/2017,17.253,CC,4
14,3/28/2017,17.253,CC,8
17,3/28/2017,17.253,CC,4
6,3/28/2017,17.253,EC,5
13,3/28/2017,17.253,EC,7
18,3/28/2017,17.253,EC,7
5,3/28/2017,17.253,XC,10
7,3/28/2017,17.253,XC,11
24,3/28/2017,17.253,XC,7
4,4/29/2017,17.285,CC,4
11,4/29/2017,17.285,CC,4
14,4/29/2017,17.285,CC,5
17,4/29/2017,17.285,CC,10
6,4/29/2017,17.285,EC,4
13,4/29/2017,17.285,EC,2
18,4/29/2017,17.285,EC,5
5,4/29/2017,17.285,XC,10
7,4/29/2017,17.285,XC,13
24,4/29/2017,17.285,XC,10
4,5/27/2017,17.313,CC,5
11,5/27/2017,17.313,CC,7
14,5/27/2017,17.313,CC,9
17,5/27/2017,17.313,CC,6
6,5/27/2017,17.313,EC,1
13,5/27/2017,17.313,EC,4
18,5/27/2017,17.313,EC,5
5,5/27/2017,17.313,XC,3
7,5/27/2017,17.313,XC,10
24,5/27/2017,17.313,XC,10
4,6/24/2017,17.341,CC,3
11,6/24/2017,17.341,CC,5
14,6/24/2017,17.341,CC,6
17,6/24/2017,17.341,CC,3
6,6/24/2017,17.341,EC,2
13,6/24/2017,17.341,EC,4
18,6/24/2017,17.341,EC,4
5,6/24/2017,17.341,XC,5
7,6/24/2017,17.341,XC,3
24,6/24/2017,17.341,XC,4
4,8/19/2017,17.397,CC,1
11,8/19/2017,17.397,CC,4
14,8/19/2017,17.397,CC,4
17,8/19/2017,17.397,CC,4
6,8/19/2017,17.397,EC,4
13,8/19/2017,17.397,EC,2
18,8/19/2017,17.397,EC,7
5,8/19/2017,17.397,XC,2
7,8/19/2017,17.397,XC,6
24,8/19/2017,17.397,XC,3
4,9/14/2017,17.423,CC,4
11,9/14/2017,17.423,CC,3
14,9/14/2017,17.423,CC,3
17,9/14/2017,17.423,CC,5
6,9/14/2017,17.423,EC,5
13,9/14/2017,17.423,EC,3
18,9/14/2017,17.423,EC,5
5,9/14/2017,17.423,XC,5
7,9/14/2017,17.423,XC,7
24,9/14/2017,17.423,XC,4
4,10/21/2017,17.46,CC,3
11,10/21/2017,17.46,CC,3
14,10/21/2017,17.46,CC,2
17,10/21/2017,17.46,CC,4
6,10/21/2017,17.46,EC,5
13,10/21/2017,17.46,EC,1
18,10/21/2017,17.46,EC,4
5,10/21/2017,17.46,XC,6
7,10/21/2017,17.46,XC,9
24,10/21/2017,17.46,XC,5
4,11/18/2017,17.488,CC,1
11,11/18/2017,17.488,CC,4
14,11/18/2017,17.488,CC,4
17,11/18/2017,17.488,CC,6
6,11/18/2017,17.488,EC,7
13,11/18/2017,17.488,EC,2
18,11/18/2017,17.488,EC,4
5,11/18/2017,17.488,XC,5
7,11/18/2017,17.488,XC,4
24,11/18/2017,17.488,XC,4
