"captures","censored","tags"
"AA00000000000000000000000000000000000000","1","1"
"AAAAAAAA0AA0AAAAAAA0A0000000000000000000","1","2"
"AAAAAAAA0AA0AAAA000000000000000000000000","1","3"
"AAAAAAA000000000000000000000000000000000","1","4"
"0000000000000000000000000000000AAAA00000","1","279"
"CA00000000000000000000000000000000000000","1","13"
"000000000000000000000AA00A00000000000000","1","187"
"0000000000000000000000A00000000000000000","1","203"
"000000000000000000A0AAAAAAAA000000000000","1","150"
"0A00000000000000000000000000000000000000","1","26"
"0000000000CC00000CC000CCC0000CCC000A000A","1","115"
"0A0000000000000AAAA000000000000000000000","1","28"
"0A00000000000000000000000000000000000000","1","29"
"0AAAAAAA0AA0AAA0000000000000000000000000","1","27"
"0000000000000000A0C000000000000000000000","1","137"
"00000000000000000000000000000CCC0AAC0000","1","271"
"0000000A0AA0AAAA000000000000000000000000","1","99"
"0000000000000000000000000C000CCCAA000000","1","246"
"000000000000000CC0CC000CC00A0ACC000CA0A0","1","135"
"00000000000000000000000000000AA000000000","1","265"
"00AAA00000000000000000000000000000000000","1","48"
"000000000000000000000000000000000000000A","1","311"
"00000000000000000000000000000000AA000AAA","1","283"
"0A0000000A00A00A000000000000000000000000","1","35"
"000000000000000000000A000000000000000000","1","186"
"000000000A000000000000000000000000000000","1","109"
"000000000000000000000000000000A000000000","1","274"
"000000000000000000000000000000A000000000","1","275"
"000A000000000000000000000000000000000000","1","61"
"CCCCCCCACCCCCCCC000000000000000000000000","1","12"
"00000000000000000000A0000000000000000000","1","166"
"000000000000000000000C000000000000000000","1","191"
"00000000000000000000CCCCCCC0CCCC0000C000","1","175"
"00CC0CCCCCC0CC00CCCCCCCC0000000000000000","1","52"
"CCCCCCC0CCCCCCCCCCCC00CCC0C0000000000000","1","14"
"0000000000000000000000CCCCC0C00000000000","1","208"
"0CCCCCCCCCCCCCCCCCCCC0000000000000000000","1","42"
"00000000000000000000000BC0C0000000000000","1","215"
"CCCCCCCC00000000000000000000000000000000","1","15"
"000000000000000000000000C00000C0000000CC","1","232"
"000000000000000000000000C000000000000000","1","233"
"00000CCC00CCCCC0000000000000000000000000","1","85"
"00000000000000000000CCCCCCC00CCC000CCCCC","1","176"
"000000000000000000000C000000000000000000","1","192"
"00000000000CCCCC000000000000000000000000","1","117"
"00000000000000000000000C0000000000000000","1","223"
"00000000000000000000CCC00000000000000000","1","178"
"000000000000000000000000000000000000000C","1","313"
"0000000B000000000000CC0CC000000000000000","1","100"
"0C00000000000000000000000000000000000000","1","41"
"00000000000000000000C0000000000000000000","1","177"
"00000000000000000000000000000C0000000000","1","270"
"0000000000C00000000000000000000000000000","1","113"
"000C000000000000000000000000000000000000","1","66"
"00000000000C0000000000000000000000000000","1","116"
"00000000000000000000000000000000000000C0","1","307"
"0000000000000000000000AACA00000A00AAA0C0","1","206"
"000C000000000000000000000000000000000000","1","67"
"00000000000000000000000000000000000000C0","1","308"
"00000000000000000B00BBB0B0BBBBBBBBBBBBB0","1","144"
"0000000000000000000000000000000B0B000000","1","280"
"0BBB000000000000000000000000000000000000","1","36"
"00000000000000000000000000000BBBBBBBB0BB","1","269"
"00000000000000000BB0BBBBB000000B0000B000","1","145"
"00000BBB0BB0BBB0BBB0B0BBB000000000000000","1","79"
"00000000000000000000B000B000BBBBBBBBBBBB","1","167"
"00000000000000000000000000000000000000B0","1","306"
"0000000000000000000000000BBBBB0000000000","1","241"
"0000000000000000000000BB0000BBBBBBBBBB00","1","204"
"000000000000000000000000000000000B00B000","1","286"
"0B0000000000BB00B00000000000000000000000","1","37"
"00000BBB000000BBBB0000000000000000000000","1","78"
"000BBBB000000000000000000000000000000000","1","62"
"000000000000B00000C000000000000000000000","1","122"
"000000000000000000000B000000000000000000","1","188"
"000000000000000000000000000000000B000000","1","285"
"0000000000000000B00000000000000000000000","1","141"
"00000000000000000000000000000000000000B0","1","305"
"000000000000000000000000000000B000000000","1","276"
"000CCCCCCC000000000000000000000000000000","1","69"
"000000CCCCCC00C0CCC000000000000000000000","1","95"
"000000CCCCCCCCC0000000000000000000000000","1","94"
"000CCC0CC00CCCCCCCCCCC000000000000000000","1","68"
"00000000000000000000000000A0CCC000000000","1","251"
"00000000000000000000000000000CCC00000000","1","273"
"0000000000000000000000000000CCCC000CCCCC","1","262"
"0000000C00000000000000000000000000000000","1","102"
"0000000000000000CCCC0CCCC000000000000000","1","140"
"0000000000CCCC00000000000000000000000000","1","114"
"00CCCCC000000000000000000000000000000000","1","53"
"00CCCCCCCCCC0000000000000000000000000000","1","54"
"00000000000000000CCCC0CCCCC0000000000000","1","147"
"000C000000000000000000000000000000000000","1","70"
"00000000CCCC0C0CC0C00C000000000000000000","1","108"
"000000000000000000000C000000000000000000","1","194"
"0000000000000000000000000CC0C00000000000","1","247"
"00000000000000000000000000000CC000000000","1","272"
"000000000000000000000C000000000000000000","1","196"
"000000000000000000000C000000000000000000","1","195"
"00000000000000000000000000000000000CCCCC","1","297"
"00C0000000000000000000000000000000000000","1","55"
"00C0000000000000000000000000000000000000","1","56"
"0000000000000000000C00000000000000000000","1","158"
"0CC00000000C0000000000000000000000000000","1","46"
"000000000000000000000C000000000000000000","1","193"
"000000000000000000000CCCCC00000000000000","1","197"
"000000000000000000000000C000000000000000","1","234"
"00000000000000000000CCCCC000000000000000","1","179"
"0000000000000000000000CB0000000000000000","1","209"
"0000000000000000000000C00C00000000000000","1","210"
"000000000000000000000CC00000000000000000","1","198"
"000000000000000000C00CCC0000000000000000","1","154"
"0000000000000000000000C00000000000000000","1","211"
"000000000000000C000000000000000000000000","1","136"
"00000000000000000000000C0000000000000000","1","224"
"0C00000000000000000000000000000000000000","1","47"
"0000000C00000000000000000000000000000000","1","103"
"00000000000C0000000000000000000000000000","1","118"
"00000000000C0000000000000000000000000000","1","119"
"00C0000000000000000000000000000000000000","1","57"
"000000000000000000000000000000000000000C","1","314"
"000000000000000000000000000000000000A000","1","299"
"00000000000000000000000AAAAAA00000000000","1","213"
"0000000000000000000000000000A00000000000","1","259"
"00000000000000000000000000000000000AA000","1","294"
"000000AA0AA0AAAA000000000000000000000000","1","88"
"A000AAAA0AA0AAA0AA000AA00000000000000000","1","10"
"000000000000000000000000A00000000000A000","1","239"
"000000000000000000A0AAAAAAAAAAAAAAAAA000","1","153"
"AAAAAAAA0AA0AAAAAAA000000000000000000000","1","11"
"0AA0000000000000000000000000000000000000","1","39"
"000000000000000000000000000000000000AAA0","1","298"
"00000000000000000000000000A0AAAAAAA0A000","1","250"
"0000000000000000A00000000000000000000000","1","139"
"0000000000000000000000000000000000AA00AA","1","289"
"000000000000000000000000000000000000A000","1","300"
"0000000000000000AAA000000000000000000000","1","138"
"000000AA00000000000000000000000000000000","1","91"
"00000AAA0AA0AAAA000000000000000000000000","1","84"
"000000AA0AA0AAAA000000000000000000000000","1","90"
"000000000000000000000000AA000000A00AA00A","1","230"
"00000000000000000000AAAAAAAA000000000000","1","174"
"0000000000000000000000000000000000AA0000","1","288"
"0000000A00000000000000000000000000000000","1","101"
"000000000000AA00000000000000000000000000","1","126"
"AAAA000000000000000000000000000000000000","1","9"
"0000000000000000000000000A00000000000000","1","245"
"0000000000000000000000A0C000000000000000","1","207"
"000000000000000000000A000000000000000000","1","189"
"0000000000000000000000000A00000000000000","1","244"
"000000000000000000000000A0000000000A0000","1","238"
"000000AA0AA0A000000000000000000000000000","1","89"
"A000000000000000000000000000000000000000","1","8"
"000000000000000000000A000000000000000000","1","190"
"00000A0000000000000000000000000000000000","1","83"
"00000000000000000000000000000000A0000000","1","284"
"000000000000000000000000000A000000000000","1","257"
"0000A00000000000000000000000000000000000","1","74"
"00000000000000000000000000000A0000000000","1","266"
"0BBB000000000000000000000000000000000000","1","43"
"BBBBBBBBBBBBBB00000000000000000000000000","1","16"
"BBBB000000000000000000000000000000000000","1","17"
"0000000BBBBBB000000000000000000000000000","1","104"
"00B0BBBBBBBBBBBB000000000000000000000000","1","58"
"0000000000000000000B00000000000000000000","1","159"
"0000000B0BBBB000000000000000000000000000","1","105"
"000000000000000000B0BBBBBBB0BBBB000BBBB0","1","155"
"00000000000000000000000B00B00B0B0000B0B0","1","227"
"00000000000000000000000B0000000000000000","1","228"
"00000BB000000000000000000000000000000000","1","86"
"000000000000000000000000BB000B0000000000","1","235"
"00000000000000000B000B0BA0B0000000000000","1","148"
"00000000000000000000000B0000000000000000","1","226"
"000000000000000000000B00000000000000B000","1","200"
"000000000000000000000B000000000000000000","1","199"
"00000000000000000000000B0000000000000000","1","225"
"000000000000000000000000000000000000B000","1","302"
"000000000000000000000000000000000000B000","1","303"
"0000AAAAAAAAAAAAAAAA0AAA0000000000000000","1","72"
"00000000000000000AAAAA0A0AA0AAAA000AAA00","1","149"
"AA0000000A000000000000000000000000000000","1","20"
"00AAAAAAAAAAAAA0000000000000000000000000","1","59"
"0000AA0000000000000000000000000000000000","1","77"
"A000000000000000000000000000000000000000","1","18"
"000000000000000000000000000000AA00000000","1","278"
"000000000AA00000000000000000000000000000","1","111"
"000000000000AAAAAAAAAA000000000000000000","1","129"
"AAAAAAAAAAAA0000000000000000000000000000","1","19"
"00000000000AA000000000000000000000000000","1","120"
"0000000000000000000000000000A00000000000","1","263"
"000000000000000000000AAAAAA0000000000000","1","201"
"000000000000000000000000A000000000000000","1","236"
"0000000000000000000A00A00000000000000000","1","160"
"00000000000000A0000000000000000000000000","1","133"
"0AA0000000000000000000000000000000000000","1","33"
"00000A000A0000000A0000000000000000000000","1","87"
"000000000000000000000000000000000000AA0A","1","304"
"00000000000000000000000000000000000000A0","1","309"
"00000000000000000000000000000000000AAA0A","1","293"
"00000000000000000000000000000000000A0000","1","292"
"00000000000000000000000000000000000000A0","1","310"
"000000000000A000000000000000000000000000","1","128"
"00000000000000000000000BA000000000000000","1","221"
"A000000000000000000A0A000000000000000000","1","24"
"00000000000000000000000AA0A0AAAA000AAAAA","1","214"
"0000000000000000000AAAAAAAA0AAAA000A0000","1","164"
"000000A000000000000000000000000000000000","1","98"
"000000000000000000000000A000000000000000","1","237"
"00000000000000AAAA0000000000000000000000","1","134"
"0000000000000000000000000000A00000000000","1","264"
"0AAAAAA000000000000000000000000000000000","1","44"
"00000000000000000000000000A0AA0000000000","1","252"
"AA00000000000000000000000000000000000000","1","21"
"00000000000000000000AAA00000000000000000","1","180"
"0000000000000000000000000000000A00000AAA","1","281"
"000000000000000000000000000000000000000A","1","315"
"00000000000000000000A0000000000000000000","1","181"
"0AAAAAAAAAAAA000000000000000000000000000","1","34"
"00000000000000000000000000000AAA000AAAA0","1","268"
"AA0000000000000000A0A00A0000000000000000","1","22"
"000000000000A000A0AAAAA00000000000000000","1","130"
"00000000000000000000AAAAA000000000000000","1","182"
"000000AAAAAAAA00000000000000000000000000","1","97"
"0000000000000000000A00000000000000000000","1","165"
"A00000000000A0A0000000000000000000000000","1","23"
"00AAAAAA00000000000000000000000000000000","1","60"
"000000AA0000A0A0AA0000000000000000000000","1","96"
"000000000A0A0A00000000000000000000000000","1","112"
"00000000AAAAAAAAAAAAAAA00000000000000000","1","107"
"00000000000AAA00000000000000000000000000","1","121"
"00000000000000000000000000000AAA0000000A","1","267"
"000000000000A000000000000000000000000000","1","131"
"000000000000000000000AA00000000000000000","1","202"
"000AAAAAAA000000000000000000000000000000","1","71"
"0000000000000000000A00000000000000000000","1","162"
"A000000000000000000000000000000000000000","1","25"
"000000000000000000AABAA0AA00000000000000","1","157"
"000000000000000000A000000000000000000000","1","156"
"0000000000000000000A00000000000000000000","1","163"
"000000000BB0BBBBBBB0BBB0AA00000000000000","1","110"
"0000000000000000000000000000000A00000000","1","282"
"0A00000000000000000000000000000000000000","1","45"
"000000000000000000000000A000000000000000","1","240"
"0000000000000000000000A00A00000000000000","1","212"
"0000000A00000000000000000000000000000000","1","106"
"0000000000000000000000000A00000000000000","1","248"
"0000000000000000000A00000000000000000000","1","161"
"0000000000000000000000000000BBBBBBBBB0B0","1","261"
"00000000000000000000BBBBBBBBBB0000000000","1","183"
"0000000000000000000000000000B00000000000","1","260"
"0000000000000000000000000BBBBBBBBBBBBBBB","1","243"
"000BBBBB0BB0BBBBBBB0BBBBBB00BB0000000000","1","65"
"00000000000000000000000BBBBBBBBBBBBBBBBB","1","219"
"0000000000000000B0000000B0000000B0000000","1","143"
"0000000000000000000000000000000000B0B0B0","1","291"
"000000000000000000000000BBBBB00000000000","1","231"
"0B00000000000000000000000000000000000000","1","40"
"00B0BBBB0BB0BB00000000000000000000000000","1","50"
"00000000000000000000B0000000000B0000B0BB","1","184"
"000000000000BB00000000000000000000000000","1","127"
"0BBBBBBB0BB0BBBBBBB0B0000000000000000000","1","32"
"0000BBBB0BB0BBBBB00000000000000000000000","1","76"
"000000000000000000000000000000000BBBB000","1","287"
"000000000000000000000000000B00B000B0B000","1","255"
"00000000000000000000000000000000000BB000","1","295"
"00000000000000000000000000000000000B0000","1","296"
"000000000000000000000000000000000000B000","1","301"
"00BBBBBB00000000000000000000000000000000","1","51"
"00000000000000000000000B0000000000000000","1","218"
"B000000000000000000000000000000000000000","1","7"
"00000000000000000000000B000000000BBB0000","1","220"
"00000000000000000000B0000000000000000000","1","185"
"00000000000000000000000B0000000000BB0000","1","222"
"0000B00000000000000000000000000000000000","1","75"
"00BB00000000B000000000000000000000000000","1","49"
"0B00000000000000000000000000000000000000","1","31"
"0000000000000000B00000000000000000000000","1","142"
"0000000000000000000000000000000000BB0000","1","290"
"000000000000000000000000000B000000000000","1","256"
"000000000000000000000000000B000000000000","1","254"
"000000CC0CC0CCC0CCC0CCCCC00000CCCCCCC000","1","92"
"0000CCCC0CC0CCCCCCC0CCCCCCCCCCCCCCCCCCCC","1","73"
"CC00000000000000000000000000000000000000","1","6"
"000000000000000000C00C00CCC0000000000000","1","152"
"0CCCCCCC00000000000000000000000000000000","1","38"
"CCCCCCCC0CC0CCCCCCC0CCCC0000000000000000","1","5"
"000000000000000000000000000C0CCCCCCCCCC0","1","253"
"00000CCC0000000000C0C0000000000000000000","1","80"
"0000000000000000000000000000CC0000000000","1","258"
"00000000000000000000C000CC00000000000000","1","172"
"00000000000000000000000000C0000000000000","1","249"
"0000000000000000000000CC0000000000000000","1","205"
"000000000000000000C0CCC00000000000000000","1","151"
"000000000000C00C00C0C00C0CC0000000000000","1","124"
"000000000000CC000CC000000000000000000000","1","123"
"000000CC00000000000000000000000000000000","1","93"
"0CCCCCCC00000000000000000000000000000000","1","30"
"0000000000000000000000000C00000000000000","1","242"
"000000000000000000000000000000C000000000","1","277"
"00000CCC00000000000000000000000000000000","1","82"
"00000000000000000000000CC000000000000000","1","216"
"00000000000000000000C0000000000000000000","1","173"
"00000000000000000000C000C000000000000000","1","171"
"00000000000000000000000C0000000000000000","1","217"
"00000C0000000000000000000000000000000000","1","81"
"0000000000000C00000000000000000000000000","1","132"
"000000000000000000000000000000000000000C","1","312"
"00000000000000000000C0000000000000000000","1","170"
"000C000000000000000000000000000000000000","1","64"
"000000000000000000000000CC00000000000000","1","229"
"00000000000000000C0000000C00000000000000","1","146"
"00000000000000000000C0000000000000000000","1","168"
"00000000000000000000C0000000000000000000","1","169"
"000C000000000000000000000000000000000000","1","63"
"000000000000C000000000000000000000000000","1","125"
