"plot","year","season","amar palm","ambr arte","aris adsc","bail mult","boer inte","boer torr","bout aris","bout barb","cass lept","chen frem","crot pumi","dale brac","erio aber","erio lemm","euph exst","euph micr","euph serp","euph serr","hapl grac","ipom cost","kall gran","moll cerv","moll vert","pani ariz","pani hirt","pani mili","pect papp","port parv","sanv aber","sida spin","tide lanu","tria port","treat_before","treat_after","flip_type"
1,2014,"summer",115,0,59,0,7,5,686,55,9,0,99,3,4,0,0,0,16,2,0,0,0,10,0,5,54,0,3,0,0,8,24,1,"control","removal","control-removal"
1,2008,"summer",7,0,606,0,4,0,973,34,15,0,46,28,0,0,0,0,0,0,0,0,1,1,0,115,74,4,0,0,0,4,5,0,"control","removal","control-removal"
1,2011,"summer",2,0,2,0,28,21,9,32,2,0,47,13,0,0,0,0,0,0,0,0,0,0,1,31,30,0,0,0,0,2,4,0,"control","removal","control-removal"
2,2014,"summer",587,1,71,0,9,4,349,20,13,0,5,3,5,74,0,0,1,0,0,0,1,0,17,16,21,0,1,0,1,3,73,0,"control","exclosure","control-exclosure"
2,2008,"summer",164,0,109,0,2,0,225,38,39,0,66,2,0,0,0,0,0,0,0,0,1,4,0,92,145,5,0,0,0,5,19,0,"control","exclosure","control-exclosure"
2,2011,"summer",77,0,0,0,16,3,1,25,11,0,5,13,0,11,0,0,0,0,0,0,4,21,11,65,29,0,0,0,1,0,2,2,"control","exclosure","control-exclosure"
3,2014,"summer",48,0,697,0,2,7,251,40,2,0,0,1,4,12,0,3,2,0,0,0,0,0,0,12,19,0,0,0,0,0,19,0,"exclosure","exclosure","exclosure"
3,2008,"summer",18,0,903,0,4,0,237,36,1,0,0,20,0,0,0,0,3,0,0,0,0,0,0,58,64,0,0,0,0,0,36,0,"exclosure","exclosure","exclosure"
3,2011,"summer",1,0,4,0,4,0,0,65,2,0,3,11,0,0,0,0,0,0,0,0,3,0,0,25,15,0,0,0,0,0,3,3,"exclosure","exclosure","exclosure"
4,2014,"summer",10,0,658,0,1,9,678,105,0,0,0,2,2,9,0,0,10,1,0,0,1,1,0,29,60,3,0,0,0,0,73,0,"control","control","control"
4,2008,"summer",0,0,732,0,1,1,264,20,0,0,5,10,0,0,0,0,0,2,0,2,0,0,0,213,14,3,0,0,0,1,20,0,"control","control","control"
4,2011,"summer",1,0,5,0,2,15,3,51,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,9,84,1,0,0,0,0,6,0,"control","control","control"
5,2008,"summer",49,0,1129,0,1,0,752,9,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,96,23,3,0,0,0,0,9,0,"removal","control","removal-control"
5,2014,"summer",74,0,566,0,1,7,674,12,0,0,0,17,3,0,0,0,6,3,0,0,6,1,0,14,23,1,1,0,0,0,22,0,"removal","control","removal-control"
5,2011,"summer",2,0,7,0,2,31,30,33,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,24,40,1,0,0,0,0,10,0,"removal","control","removal-control"
6,2008,"summer",15,0,345,0,4,1,350,51,12,0,0,11,1,0,0,0,0,0,0,0,1,0,0,153,67,2,0,0,0,2,41,0,"exclosure","control","exclosure-control"
6,2014,"summer",16,0,58,0,6,8,170,29,0,0,0,2,0,1,2,0,5,0,0,0,1,0,0,17,24,0,1,0,0,0,38,0,"exclosure","control","exclosure-control"
6,2011,"summer",0,0,3,0,20,6,3,39,2,0,0,5,0,0,0,0,0,0,0,0,1,0,1,45,23,1,0,0,0,0,10,1,"exclosure","control","exclosure-control"
7,2014,"summer",1,0,78,0,1,9,59,46,0,0,0,15,4,0,0,0,10,3,0,0,0,0,0,13,42,0,0,0,0,3,18,4,"removal","control","removal-control"
7,2011,"summer",0,0,4,0,32,32,7,201,0,0,0,25,0,0,0,3,0,0,0,0,14,0,0,13,64,0,0,0,0,0,22,0,"removal","control","removal-control"
7,2008,"summer",3,0,277,0,2,0,395,140,0,0,1,81,0,0,0,0,0,0,0,0,3,0,0,247,64,0,0,0,0,0,86,0,"removal","control","removal-control"
8,2011,"summer",0,0,2,0,1,24,6,36,2,0,0,2,0,1,0,0,0,0,0,0,7,0,0,29,31,0,0,0,0,0,5,1,"control","exclosure","control-exclosure"
8,2008,"summer",15,0,703,0,1,0,755,25,3,0,42,0,0,0,0,0,0,0,0,0,3,0,0,97,19,80,0,0,0,3,4,0,"control","exclosure","control-exclosure"
8,2014,"summer",210,0,332,0,1,6,845,152,0,0,0,0,0,2,0,0,9,0,0,1,0,1,2,16,23,0,12,0,0,1,21,3,"control","exclosure","control-exclosure"
9,2011,"summer",0,0,8,0,4,8,13,79,2,0,0,25,0,0,0,0,0,0,0,0,3,0,0,30,30,0,0,0,0,0,1,0,"control","removal","control-removal"
9,2008,"summer",6,0,673,0,1,0,826,16,13,1,11,27,0,0,0,0,0,0,0,0,0,0,0,40,12,5,0,0,0,0,4,0,"control","removal","control-removal"
9,2014,"summer",4,0,330,0,2,1,881,48,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,11,23,1,3,0,0,0,3,1,"control","removal","control-removal"
10,2011,"summer",0,0,11,0,3,4,3,87,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,"removal","removal","removal"
10,2014,"summer",5,0,693,0,14,14,567,70,1,0,0,19,8,0,0,0,6,1,0,1,0,11,0,7,7,0,2,0,0,0,1,0,"removal","removal","removal"
10,2008,"summer",1854,0,0,0,1,0,523,9,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,11,0,"removal","removal","removal"
11,2014,"summer",253,0,9,0,4,4,146,31,4,0,2,0,0,0,0,2,13,2,0,0,0,2,0,8,10,0,0,0,0,0,6,2,"control","control","control"
11,2011,"summer",0,0,3,0,3,13,4,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,0,0,5,2,"control","control","control"
11,2008,"summer",69,0,216,0,1,0,404,47,27,0,59,4,0,0,0,0,0,0,0,0,0,0,0,47,42,2,0,0,0,0,34,0,"control","control","control"
12,2014,"summer",814,0,225,0,3,4,362,18,8,0,9,0,0,1,0,0,2,0,0,3,0,2,0,7,15,0,11,0,0,0,5,2,"control","removal","control-removal"
12,2011,"summer",8,0,0,0,2,9,0,32,0,0,3,2,0,0,0,0,0,0,0,0,1,3,0,28,23,0,0,0,0,0,1,1,"control","removal","control-removal"
12,2008,"summer",192,0,74,0,0,0,307,80,5,0,84,1,0,0,0,0,0,0,0,0,1,0,0,33,58,8,0,0,0,0,22,0,"control","removal","control-removal"
13,2014,"summer",82,0,280,0,13,2,154,33,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,23,12,0,0,0,0,1,8,5,"exclosure","control","exclosure-control"
13,2008,"summer",6,0,552,0,18,0,273,140,6,0,11,7,0,0,0,0,0,0,0,0,0,0,0,46,89,0,0,0,0,2,19,0,"exclosure","control","exclosure-control"
13,2011,"summer",0,0,0,0,29,7,1,55,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,49,7,0,0,0,0,0,7,2,"exclosure","control","exclosure-control"
14,2011,"summer",0,0,2,0,5,20,11,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,13,0,0,0,0,0,9,3,"control","control","control"
14,2014,"summer",1,0,298,0,8,4,1075,33,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,1,8,0,3,0,0,0,3,13,"control","control","control"
14,2008,"summer",351,0,0,0,1,0,522,61,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,38,54,0,0,0,0,0,17,0,"control","control","control"
15,2008,"summer",0,0,813,0,0,2,624,43,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,114,31,0,1,0,0,0,35,0,"exclosure","exclosure","exclosure"
15,2014,"summer",7,0,86,0,29,22,177,52,0,0,0,1,0,1,0,0,5,0,0,2,0,0,0,17,28,0,1,0,0,0,12,3,"exclosure","exclosure","exclosure"
15,2011,"summer",0,0,6,0,2,13,4,134,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,13,5,"exclosure","exclosure","exclosure"
16,2011,"summer",0,0,1,0,10,3,0,29,0,0,0,111,0,0,0,0,0,0,0,0,2,0,0,12,1,0,0,0,0,0,3,16,"removal","removal","removal"
16,2014,"summer",33,0,794,0,2,0,655,136,0,0,0,21,2,0,0,5,7,0,0,2,0,6,0,6,23,0,0,0,0,0,5,2,"removal","removal","removal"
16,2008,"summer",0,0,1893,0,0,0,802,5,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,76,18,0,0,0,0,0,1,0,"removal","removal","removal"
17,2011,"summer",1,0,3,0,13,6,2,34,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,13,35,0,0,0,0,0,15,18,"control","control","control"
17,2008,"summer",0,0,381,0,0,0,594,46,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,65,36,15,0,0,0,0,26,0,"control","control","control"
17,2014,"summer",293,0,539,0,11,1,809,38,1,0,4,0,0,135,0,1,5,0,0,0,0,13,0,10,22,0,1,0,0,0,11,1,"control","control","control"
18,2014,"summer",195,0,199,0,1,1,504,14,1,0,3,1,0,49,0,0,6,3,0,4,0,0,0,14,22,0,0,0,0,0,18,5,"exclosure","control","exclosure-control"
18,2008,"summer",0,0,739,0,1,0,884,20,7,0,22,0,0,0,0,0,0,0,0,0,5,0,0,53,43,19,0,0,0,0,21,0,"exclosure","control","exclosure-control"
18,2011,"summer",0,0,1,0,11,5,0,8,0,0,2,1,0,0,0,0,0,0,0,0,5,0,3,39,5,0,0,0,4,0,8,12,"exclosure","control","exclosure-control"
19,2011,"summer",1,0,2,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,9,0,0,0,0,0,7,2,"exclosure","exclosure","exclosure"
19,2014,"summer",132,0,575,0,7,3,580,15,1,0,3,1,1,0,0,0,3,1,0,3,0,6,0,9,12,0,0,0,0,0,19,0,"exclosure","exclosure","exclosure"
19,2008,"summer",43,0,456,0,4,0,290,37,0,0,48,1,0,0,0,0,0,0,0,1,6,0,1,90,94,1,0,0,0,1,12,0,"exclosure","exclosure","exclosure"
20,2014,"summer",41,0,231,0,4,1,424,35,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,8,19,0,0,0,0,1,4,0,"exclosure","exclosure","exclosure"
20,2011,"summer",0,0,3,0,5,0,1,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,3,0,"exclosure","exclosure","exclosure"
20,2008,"summer",8,0,810,0,3,12,581,38,0,0,3,9,0,1,0,0,0,0,0,0,1,0,0,27,31,0,0,0,0,0,30,0,"exclosure","exclosure","exclosure"
21,2011,"summer",0,0,4,0,22,0,5,37,0,0,0,5,0,0,0,0,0,0,0,2,9,1,0,29,3,0,0,0,0,0,5,0,"exclosure","exclosure","exclosure"
21,2014,"summer",18,0,1307,0,8,1,970,32,1,0,5,0,0,2,0,0,1,0,0,3,0,2,0,15,15,0,0,0,0,0,4,0,"exclosure","exclosure","exclosure"
21,2008,"summer",1,0,1458,0,8,0,940,14,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,22,67,0,0,2,0,0,16,0,"exclosure","exclosure","exclosure"
22,2014,"summer",0,0,453,0,30,2,2009,239,0,0,2,4,4,0,0,1,1,0,0,1,0,0,0,13,14,0,0,0,0,2,4,0,"control","exclosure","control-exclosure"
22,2011,"summer",0,0,3,0,35,3,1,10,1,0,0,27,0,0,0,0,0,0,0,0,0,1,5,28,14,0,0,0,0,0,0,0,"control","exclosure","control-exclosure"
22,2008,"summer",0,0,569,0,4,6,679,20,4,0,18,41,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,0,5,5,0,"control","exclosure","control-exclosure"
23,2014,"summer",775,0,1106,0,9,1,314,22,0,0,0,24,0,0,0,0,0,0,0,18,0,5,0,32,17,2,0,0,0,0,3,0,"removal","removal","removal"
23,2011,"summer",2,0,6,0,10,2,1,39,0,0,0,74,0,0,0,0,0,0,0,3,1,0,0,52,6,0,0,0,0,0,6,0,"removal","removal","removal"
23,2008,"summer",31,0,696,0,22,0,551,32,0,0,25,58,0,0,0,0,0,0,0,0,6,0,0,24,65,0,0,1,0,0,15,0,"removal","removal","removal"
24,2014,"summer",365,0,423,0,3,5,119,18,0,0,2,2,0,0,1,0,2,0,0,9,3,0,0,15,8,0,0,0,0,0,15,0,"removal","control","removal-control"
24,2011,"summer",1,0,0,0,2,9,2,12,0,0,1,10,0,0,0,0,0,0,0,4,1,0,0,16,17,0,0,0,2,0,12,14,"removal","control","removal-control"
24,2008,"summer",23,0,123,0,3,8,187,80,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,78,42,6,0,1,0,0,32,0,"removal","control","removal-control"
