"plot","censusdate","numericdate","treatment","energy"
4,2013-03-13,15.777,"CC",59.399610737689
11,2013-03-13,15.777,"CC",116.626269217221
14,2013-03-13,15.777,"CC",72.0704312761469
17,2013-03-13,15.777,"CC",114.151466825274
6,2013-03-13,15.777,"EC",20.5505107261835
13,2013-03-13,15.777,"EC",29.9636518749912
18,2013-03-13,15.777,"EC",27.7168190852984
5,2013-03-13,15.777,"XC",73.3094089320776
7,2013-03-13,15.777,"XC",54.5464363455343
24,2013-03-13,15.777,"XC",94.494202944751
4,2013-04-13,15.808,"CC",156.977557036443
11,2013-04-13,15.808,"CC",106.95394743323
14,2013-04-13,15.808,"CC",88.0527861234668
17,2013-04-13,15.808,"CC",219.595247894566
6,2013-04-13,15.808,"EC",76.8313328036502
13,2013-04-13,15.808,"EC",42.4955510921409
18,2013-04-13,15.808,"EC",63.9775697274658
5,2013-04-13,15.808,"XC",62.057753931873
7,2013-04-13,15.808,"XC",39.765992564403
24,2013-04-13,15.808,"XC",9.8098975322922
4,2013-05-11,15.836,"CC",195.010001187957
11,2013-05-11,15.836,"CC",137.388458296765
14,2013-05-11,15.836,"CC",168.820633870613
17,2013-05-11,15.836,"CC",134.083627014532
6,2013-05-11,15.836,"EC",19.9437229267461
13,2013-05-11,15.836,"EC",85.9293825341308
18,2013-05-11,15.836,"EC",42.6843468780122
5,2013-05-11,15.836,"XC",44.3301567097443
7,2013-05-11,15.836,"XC",34.080937379135
24,2013-05-11,15.836,"XC",31.7641043866322
4,2013-07-06,15.892,"CC",147.661494408538
11,2013-07-06,15.892,"CC",173.001025480047
14,2013-07-06,15.892,"CC",148.218548760873
17,2013-07-06,15.892,"CC",130.791577245193
6,2013-07-06,15.892,"EC",62.1211827366411
13,2013-07-06,15.892,"EC",115.465883475576
18,2013-07-06,15.892,"EC",75.4151933995352
5,2013-07-06,15.892,"XC",61.7526923209725
7,2013-07-06,15.892,"XC",34.051125320404
24,2013-07-06,15.892,"XC",28.6580436689626
4,2013-09-14,15.962,"CC",176.661274561627
11,2013-09-14,15.962,"CC",162.375470397416
14,2013-09-14,15.962,"CC",71.11659840054
17,2013-09-14,15.962,"CC",152.315466408556
6,2013-09-14,15.962,"EC",51.2899699583652
13,2013-09-14,15.962,"EC",92.8887541882405
18,2013-09-14,15.962,"EC",60.191930727414
5,2013-09-14,15.962,"XC",27.2967668641915
7,2013-09-14,15.962,"XC",30.117511995193
24,2013-09-14,15.962,"XC",43.2069112256248
4,2013-11-02,16.011,"CC",114.108912224625
11,2013-11-02,16.011,"CC",88.1600466064359
14,2013-11-02,16.011,"CC",97.8228474826706
17,2013-11-02,16.011,"CC",120.287494060375
6,2013-11-02,16.011,"EC",51.6576099772425
13,2013-11-02,16.011,"EC",80.2662052052348
18,2013-11-02,16.011,"EC",55.825211552047
5,2013-11-02,16.011,"XC",7.23762415540039
7,2013-11-02,16.011,"XC",67.8068931410614
24,2013-11-02,16.011,"XC",0
4,2013-12-29,16.068,"CC",53.2251717988969
11,2013-12-29,16.068,"CC",97.1655029512454
14,2013-12-29,16.068,"CC",131.255450558337
17,2013-12-29,16.068,"CC",90.0267394385812
6,2013-12-29,16.068,"EC",0
13,2013-12-29,16.068,"EC",38.1527789866862
18,2013-12-29,16.068,"EC",8.73885189073182
5,2013-12-29,16.068,"XC",16.4982153378215
7,2013-12-29,16.068,"XC",32.2999235728119
24,2013-12-29,16.068,"XC",11.5141003709978
4,2014-02-01,16.102,"CC",87.0767217418787
11,2014-02-01,16.102,"CC",185.272396375938
14,2014-02-01,16.102,"CC",241.725929882875
17,2014-02-01,16.102,"CC",155.522077288016
6,2014-02-01,16.102,"EC",33.8353365325775
13,2014-02-01,16.102,"EC",46.8826943946683
18,2014-02-01,16.102,"EC",50.3844899431745
5,2014-02-01,16.102,"XC",11.5141003709978
7,2014-02-01,16.102,"XC",33.8824098064487
24,2014-02-01,16.102,"XC",39.798287414592
4,2014-03-01,16.13,"CC",135.149635702235
11,2014-03-01,16.13,"CC",142.802100051387
14,2014-03-01,16.13,"CC",185.412979471543
17,2014-03-01,16.13,"CC",183.459777830915
6,2014-03-01,16.13,"EC",42.669799013033
13,2014-03-01,16.13,"EC",59.8274641870517
18,2014-03-01,16.13,"EC",55.0005082897515
5,2014-03-01,16.13,"XC",33.3389165674609
7,2014-03-01,16.13,"XC",24.3414568808807
24,2014-03-01,16.13,"XC",61.9392715977053
4,2014-03-29,16.158,"CC",169.963574432669
11,2014-03-29,16.158,"CC",108.487777696064
14,2014-03-29,16.158,"CC",231.927106338637
17,2014-03-29,16.158,"CC",205.892506282978
6,2014-03-29,16.158,"EC",90.49262397516
13,2014-03-29,16.158,"EC",116.558095494465
18,2014-03-29,16.158,"EC",40.9672765910465
5,2014-03-29,16.158,"XC",49.6136585661988
7,2014-03-29,16.158,"XC",60.321739100756
24,2014-03-29,16.158,"XC",75.4390955168788
4,2014-04-26,16.186,"CC",221.632099638134
11,2014-04-26,16.186,"CC",113.839901572463
14,2014-04-26,16.186,"CC",180.609489950224
17,2014-04-26,16.186,"CC",267.291915623311
6,2014-04-26,16.186,"EC",55.8117896729569
13,2014-04-26,16.186,"EC",144.0007599204
18,2014-04-26,16.186,"EC",125.532138431218
5,2014-04-26,16.186,"XC",9.10049888342792
7,2014-04-26,16.186,"XC",53.051061204001
24,2014-04-26,16.186,"XC",22.0235639308171
4,2014-05-31,16.221,"CC",110.040042435008
11,2014-05-31,16.221,"CC",218.935917534463
14,2014-05-31,16.221,"CC",228.714616157356
17,2014-05-31,16.221,"CC",220.77865951487
6,2014-05-31,16.221,"EC",46.7244034033063
13,2014-05-31,16.221,"EC",68.5010754814058
18,2014-05-31,16.221,"EC",103.098370511156
5,2014-05-31,16.221,"XC",13.2454044742227
7,2014-05-31,16.221,"XC",50.9862475170816
24,2014-05-31,16.221,"XC",34.453585103997
4,2014-06-28,16.249,"CC",199.46928361758
11,2014-06-28,16.249,"CC",207.046929805089
14,2014-06-28,16.249,"CC",214.559774358009
17,2014-06-28,16.249,"CC",272.204074164312
6,2014-06-28,16.249,"EC",149.044912039714
13,2014-06-28,16.249,"EC",104.6841205726
18,2014-06-28,16.249,"EC",154.675704589728
5,2014-06-28,16.249,"XC",16.6950402454321
7,2014-06-28,16.249,"XC",33.1305212411216
24,2014-06-28,16.249,"XC",26.428400976073
4,2014-08-02,16.284,"CC",165.23457262169
11,2014-08-02,16.284,"CC",132.374848144508
14,2014-08-02,16.284,"CC",162.167708532769
17,2014-08-02,16.284,"CC",135.120944119448
6,2014-08-02,16.284,"EC",109.704943957799
13,2014-08-02,16.284,"EC",71.271274518266
18,2014-08-02,16.284,"EC",72.7417660562732
5,2014-08-02,16.284,"XC",27.4742950744778
7,2014-08-02,16.284,"XC",32.1748833181929
24,2014-08-02,16.284,"XC",45.8076305347254
4,2014-08-30,16.312,"CC",171.625528762539
11,2014-08-30,16.312,"CC",214.549430520209
14,2014-08-30,16.312,"CC",170.899746535053
17,2014-08-30,16.312,"CC",172.678255099898
6,2014-08-30,16.312,"EC",168.594105856577
13,2014-08-30,16.312,"EC",138.130192121024
18,2014-08-30,16.312,"EC",103.285817251789
5,2014-08-30,16.312,"XC",17.1109959193245
7,2014-08-30,16.312,"XC",83.9726815123151
24,2014-08-30,16.312,"XC",9.8098975322922
4,2014-09-27,16.34,"CC",160.842738566125
11,2014-09-27,16.34,"CC",121.891060984961
14,2014-09-27,16.34,"CC",130.739964048809
17,2014-09-27,16.34,"CC",175.241217918214
6,2014-09-27,16.34,"EC",113.837511442899
13,2014-09-27,16.34,"EC",86.3002388304904
18,2014-09-27,16.34,"EC",121.4976864563
5,2014-09-27,16.34,"XC",29.0329269757878
7,2014-09-27,16.34,"XC",8.37214402859269
24,2014-09-27,16.34,"XC",20.312474598717
4,2014-10-25,16.368,"CC",139.071443374058
11,2014-10-25,16.368,"CC",163.576543311
14,2014-10-25,16.368,"CC",80.7119901832635
17,2014-10-25,16.368,"CC",85.0030806410244
6,2014-10-25,16.368,"EC",106.742067482036
13,2014-10-25,16.368,"EC",69.9130442564101
18,2014-10-25,16.368,"EC",86.6126502217877
5,2014-10-25,16.368,"XC",23.3400148076264
7,2014-10-25,16.368,"XC",20.6377559775307
24,2014-10-25,16.368,"XC",19.6030759498527
4,2014-11-22,16.396,"CC",104.584542039033
11,2014-11-22,16.396,"CC",93.736895819716
14,2014-11-22,16.396,"CC",82.3957032789052
17,2014-11-22,16.396,"CC",67.230733261388
6,2014-11-22,16.396,"EC",84.3903293235929
13,2014-11-22,16.396,"EC",56.1704314431847
18,2014-11-22,16.396,"EC",64.6241374232932
5,2014-11-22,16.396,"XC",0
7,2014-11-22,16.396,"XC",44.4951073399233
24,2014-11-22,16.396,"XC",33.8425918740512
4,2015-01-17,16.452,"CC",133.053609213604
11,2015-01-17,16.452,"CC",201.65333047963
14,2015-01-17,16.452,"CC",93.0545955599111
17,2015-01-17,16.452,"CC",69.069636344104
6,2015-01-17,16.452,"EC",35.9595190546272
13,2015-01-17,16.452,"EC",44.3537728113565
18,2015-01-17,16.452,"EC",36.2555789483723
5,2015-01-17,16.452,"XC",0
7,2015-01-17,16.452,"XC",111.215708789313
24,2015-01-17,16.452,"XC",35.4020052872721
4,2015-02-21,16.487,"CC",141.146025841412
11,2015-02-21,16.487,"CC",285.808596939876
14,2015-02-21,16.487,"CC",147.351987231261
17,2015-02-21,16.487,"CC",165.407211297697
6,2015-02-21,16.487,"EC",102.442097126158
13,2015-02-21,16.487,"EC",106.131338789667
18,2015-02-21,16.487,"EC",52.4680953042853
5,2015-02-21,16.487,"XC",41.1050181183612
7,2015-02-21,16.487,"XC",160.866610549498
24,2015-02-21,16.487,"XC",33.4830035753093
4,2015-03-26,16.52,"CC",187.504363239968
11,2015-03-26,16.52,"CC",169.875859917115
14,2015-03-26,16.52,"CC",146.096895361298
17,2015-03-26,16.52,"CC",182.550897509209
6,2015-03-26,16.52,"EC",98.6187314646051
13,2015-03-26,16.52,"EC",108.353619235408
18,2015-03-26,16.52,"EC",92.3363413206455
5,2015-03-26,16.52,"XC",61.5617606498132
7,2015-03-26,16.52,"XC",118.69804798118
24,2015-03-26,16.52,"XC",63.753276840671
4,2015-04-18,16.543,"CC",203.809659788185
11,2015-04-18,16.543,"CC",251.619136948921
14,2015-04-18,16.543,"CC",187.095959642279
17,2015-04-18,16.543,"CC",213.741443427324
6,2015-04-18,16.543,"EC",164.618301472702
13,2015-04-18,16.543,"EC",175.811650135012
18,2015-04-18,16.543,"EC",157.742723914872
5,2015-04-18,16.543,"XC",160.444577287532
7,2015-04-18,16.543,"XC",60.8571922867241
24,2015-04-18,16.543,"XC",170.05552566244
4,2015-05-16,16.571,"CC",295.108455963429
11,2015-05-16,16.571,"CC",173.92939258275
14,2015-05-16,16.571,"CC",145.514391198801
17,2015-05-16,16.571,"CC",218.956325588343
6,2015-05-16,16.571,"EC",141.278382225624
13,2015-05-16,16.571,"EC",145.077246956912
18,2015-05-16,16.571,"EC",99.3997557813483
5,2015-05-16,16.571,"XC",193.146677435521
7,2015-05-16,16.571,"XC",200.975617997199
24,2015-05-16,16.571,"XC",153.502129986351
4,2015-06-13,16.599,"CC",176.05823975857
11,2015-06-13,16.599,"CC",216.802739087786
14,2015-06-13,16.599,"CC",186.925458863149
17,2015-06-13,16.599,"CC",217.516025983117
6,2015-06-13,16.599,"EC",149.640832147805
13,2015-06-13,16.599,"EC",201.332592927214
18,2015-06-13,16.599,"EC",153.80813506455
5,2015-06-13,16.599,"XC",224.370114665353
7,2015-06-13,16.599,"XC",218.994600858393
24,2015-06-13,16.599,"XC",167.361015443442
4,2015-07-18,16.634,"CC",261.550009674999
11,2015-07-18,16.634,"CC",264.570891839915
14,2015-07-18,16.634,"CC",158.912311253616
17,2015-07-18,16.634,"CC",275.149408942326
6,2015-07-18,16.634,"EC",204.374309878469
13,2015-07-18,16.634,"EC",169.741587123573
18,2015-07-18,16.634,"EC",169.960299894397
5,2015-07-18,16.634,"XC",260.261106345242
7,2015-07-18,16.634,"XC",174.745994591712
24,2015-07-18,16.634,"XC",193.199920967308
4,2015-08-22,16.669,"CC",241.219182730039
11,2015-08-22,16.669,"CC",225.335580337228
14,2015-08-22,16.669,"CC",198.690159682347
17,2015-08-22,16.669,"CC",200.324223668118
6,2015-08-22,16.669,"EC",202.598962013896
13,2015-08-22,16.669,"EC",136.394603244227
18,2015-08-22,16.669,"EC",212.461010182104
5,2015-08-22,16.669,"XC",256.268589578275
7,2015-08-22,16.669,"XC",232.345952337759
24,2015-08-22,16.669,"XC",218.896615884521
4,2015-09-12,16.69,"CC",199.020069604939
11,2015-09-12,16.69,"CC",165.848454814095
14,2015-09-12,16.69,"CC",132.17121829211
17,2015-09-12,16.69,"CC",155.727893876191
6,2015-09-12,16.69,"EC",181.830507919838
13,2015-09-12,16.69,"EC",152.817040812214
18,2015-09-12,16.69,"EC",181.70430948925
5,2015-09-12,16.69,"XC",258.283826006963
7,2015-09-12,16.69,"XC",193.346863380523
24,2015-09-12,16.69,"XC",247.508341821996
4,2015-10-10,16.718,"CC",145.913765987115
11,2015-10-10,16.718,"CC",226.941727939327
14,2015-10-10,16.718,"CC",102.128464507419
17,2015-10-10,16.718,"CC",173.599647876069
6,2015-10-10,16.718,"EC",163.433630667279
13,2015-10-10,16.718,"EC",150.686771901026
18,2015-10-10,16.718,"EC",132.1593739437
5,2015-10-10,16.718,"XC",226.691769713664
7,2015-10-10,16.718,"XC",220.673645872021
24,2015-10-10,16.718,"XC",186.097522582909
4,2015-11-14,16.753,"CC",150.265756711773
11,2015-11-14,16.753,"CC",202.092253894545
14,2015-11-14,16.753,"CC",106.923332860685
17,2015-11-14,16.753,"CC",158.558689082726
6,2015-11-14,16.753,"EC",102.431458573907
13,2015-11-14,16.753,"EC",117.081612353757
18,2015-11-14,16.753,"EC",110.889957113323
5,2015-11-14,16.753,"XC",127.539341203121
7,2015-11-14,16.753,"XC",166.280953565769
24,2015-11-14,16.753,"XC",193.181273865853
4,2016-02-13,16.844,"CC",185.250178374005
11,2016-02-13,16.844,"CC",175.590549147913
14,2016-02-13,16.844,"CC",162.552272390955
17,2016-02-13,16.844,"CC",117.693272417442
6,2016-02-13,16.844,"EC",64.2728786299613
13,2016-02-13,16.844,"EC",91.4311878688981
18,2016-02-13,16.844,"EC",86.3260641016134
5,2016-02-13,16.844,"XC",141.731943962681
7,2016-02-13,16.844,"XC",127.475538766305
24,2016-02-13,16.844,"XC",96.6093030175307
4,2016-03-19,16.879,"CC",143.385392360922
11,2016-03-19,16.879,"CC",162.109731330634
14,2016-03-19,16.879,"CC",145.826823888348
17,2016-03-19,16.879,"CC",110.990193314944
6,2016-03-19,16.879,"EC",72.9519968677057
13,2016-03-19,16.879,"EC",109.263166787708
18,2016-03-19,16.879,"EC",101.222935108655
5,2016-03-19,16.879,"XC",208.146879310565
7,2016-03-19,16.879,"XC",163.393594386042
24,2016-03-19,16.879,"XC",94.0579993808667
4,2016-05-07,16.928,"CC",190.488832449752
11,2016-05-07,16.928,"CC",194.864042366959
14,2016-05-07,16.928,"CC",121.014104674201
17,2016-05-07,16.928,"CC",234.327033129946
6,2016-05-07,16.928,"EC",113.975002839772
13,2016-05-07,16.928,"EC",158.396344053095
18,2016-05-07,16.928,"EC",163.98871448329
5,2016-05-07,16.928,"XC",201.810678725976
7,2016-05-07,16.928,"XC",120.018800999346
24,2016-05-07,16.928,"XC",162.236119331942
4,2016-06-04,16.956,"CC",182.6979865644
11,2016-06-04,16.956,"CC",170.941232648968
14,2016-06-04,16.956,"CC",116.917373734587
17,2016-06-04,16.956,"CC",125.695866641015
6,2016-06-04,16.956,"EC",99.5453627954734
13,2016-06-04,16.956,"EC",54.009641242528
18,2016-06-04,16.956,"EC",104.036309728757
5,2016-06-04,16.956,"XC",133.306687207543
7,2016-06-04,16.956,"XC",133.342343142126
24,2016-06-04,16.956,"XC",124.071492264581
4,2016-07-02,16.984,"CC",157.95902375424
11,2016-07-02,16.984,"CC",154.23346427719
14,2016-07-02,16.984,"CC",164.897282071119
17,2016-07-02,16.984,"CC",137.58663884554
6,2016-07-02,16.984,"EC",111.870616670574
13,2016-07-02,16.984,"EC",50.1758769087117
18,2016-07-02,16.984,"EC",104.26398824444
5,2016-07-02,16.984,"XC",118.469165053396
7,2016-07-02,16.984,"XC",114.254091125061
24,2016-07-02,16.984,"XC",91.3013667422354
4,2016-08-06,17.019,"CC",195.982370143876
11,2016-08-06,17.019,"CC",136.726839818107
14,2016-08-06,17.019,"CC",122.150998174804
17,2016-08-06,17.019,"CC",85.0188691338308
6,2016-08-06,17.019,"EC",104.44356929174
13,2016-08-06,17.019,"EC",82.5889599515091
18,2016-08-06,17.019,"EC",95.1132251329526
5,2016-08-06,17.019,"XC",158.443666226266
7,2016-08-06,17.019,"XC",102.569409978731
24,2016-08-06,17.019,"XC",80.4609556411767
4,2016-09-03,17.047,"CC",126.131378710649
11,2016-09-03,17.047,"CC",84.1804781211375
14,2016-09-03,17.047,"CC",98.7293245960129
17,2016-09-03,17.047,"CC",113.088770222321
6,2016-09-03,17.047,"EC",136.179304482219
13,2016-09-03,17.047,"EC",49.9260592235369
18,2016-09-03,17.047,"EC",115.103420370627
5,2016-09-03,17.047,"XC",106.37544181742
7,2016-09-03,17.047,"XC",105.573361580031
24,2016-09-03,17.047,"XC",90.4952240689049
4,2016-10-01,17.075,"CC",74.5652868363047
11,2016-10-01,17.075,"CC",99.1188793827036
14,2016-10-01,17.075,"CC",110.941050879194
17,2016-10-01,17.075,"CC",89.6113099064318
6,2016-10-01,17.075,"EC",77.3392870328289
13,2016-10-01,17.075,"EC",66.7320982411103
18,2016-10-01,17.075,"EC",62.6119443896329
5,2016-10-01,17.075,"XC",102.930058521897
7,2016-10-01,17.075,"XC",111.820223296488
24,2016-10-01,17.075,"XC",90.4661197189775
4,2016-11-05,17.11,"CC",99.1524239312351
11,2016-11-05,17.11,"CC",87.1361358507617
14,2016-11-05,17.11,"CC",106.663354234243
17,2016-11-05,17.11,"CC",87.9077656009866
6,2016-11-05,17.11,"EC",33.2694050596628
13,2016-11-05,17.11,"EC",50.3136895949917
18,2016-11-05,17.11,"EC",53.55178102408
5,2016-11-05,17.11,"XC",111.886401925077
7,2016-11-05,17.11,"XC",108.820727164376
24,2016-11-05,17.11,"XC",174.042342221167
4,2017-01-07,17.173,"CC",111.068957362227
11,2017-01-07,17.173,"CC",31.8033691140115
14,2017-01-07,17.173,"CC",84.5744773581129
17,2017-01-07,17.173,"CC",102.665591976638
6,2017-01-07,17.173,"EC",66.8412245277136
13,2017-01-07,17.173,"EC",17.374382779324
18,2017-01-07,17.173,"EC",128.414440152465
5,2017-01-07,17.173,"XC",121.579062615949
7,2017-01-07,17.173,"XC",54.9908878836591
24,2017-01-07,17.173,"XC",263.149037283252
4,2017-01-28,17.194,"CC",142.629255071563
11,2017-01-28,17.194,"CC",124.269471962008
14,2017-01-28,17.194,"CC",120.696083166028
17,2017-01-28,17.194,"CC",136.31082558087
6,2017-01-28,17.194,"EC",69.3727662745781
13,2017-01-28,17.194,"EC",105.205063799055
18,2017-01-28,17.194,"EC",54.4194744452554
5,2017-01-28,17.194,"XC",116.023180822248
7,2017-01-28,17.194,"XC",252.77180426016
24,2017-01-28,17.194,"XC",131.885730986408
4,2017-02-25,17.222,"CC",180.201638166417
11,2017-02-25,17.222,"CC",134.220626332541
14,2017-02-25,17.222,"CC",111.33085854293
17,2017-02-25,17.222,"CC",164.611748457244
6,2017-02-25,17.222,"EC",71.4088463204129
13,2017-02-25,17.222,"EC",48.5264661941591
18,2017-02-25,17.222,"EC",55.2751283767084
5,2017-02-25,17.222,"XC",145.281286802561
7,2017-02-25,17.222,"XC",168.379301504311
24,2017-02-25,17.222,"XC",144.296977903493
4,2017-03-28,17.253,"CC",94.784912770538
11,2017-03-28,17.253,"CC",90.7392812492162
14,2017-03-28,17.253,"CC",198.349507883111
17,2017-03-28,17.253,"CC",100.291906780837
6,2017-03-28,17.253,"EC",93.1162626385886
13,2017-03-28,17.253,"EC",139.426594344565
18,2017-03-28,17.253,"EC",149.969510271091
5,2017-03-28,17.253,"XC",186.404130857389
7,2017-03-28,17.253,"XC",236.248631728227
24,2017-03-28,17.253,"XC",149.57533732522
4,2017-04-29,17.285,"CC",78.979552194312
11,2017-04-29,17.285,"CC",89.4391094632527
14,2017-04-29,17.285,"CC",107.818509430453
17,2017-04-29,17.285,"CC",177.209088166367
6,2017-04-29,17.285,"EC",70.6076453085762
13,2017-04-29,17.285,"EC",60.8511079773202
18,2017-04-29,17.285,"EC",81.6991352575882
5,2017-04-29,17.285,"XC",199.608273150995
7,2017-04-29,17.285,"XC",315.603376669114
24,2017-04-29,17.285,"XC",218.424045951934
4,2017-05-27,17.313,"CC",117.886337377813
11,2017-05-27,17.313,"CC",148.817698837609
14,2017-05-27,17.313,"CC",206.998587933062
17,2017-05-27,17.313,"CC",141.359049984144
6,2017-05-27,17.313,"EC",22.6747614808846
13,2017-05-27,17.313,"EC",127.132209490315
18,2017-05-27,17.313,"EC",117.31083645662
5,2017-05-27,17.313,"XC",83.1363313765633
7,2017-05-27,17.313,"XC",234.246286051207
24,2017-05-27,17.313,"XC",215.354054997997
4,2017-06-24,17.341,"CC",94.2798718166045
11,2017-06-24,17.341,"CC",151.932165539502
14,2017-06-24,17.341,"CC",127.487319441897
17,2017-06-24,17.341,"CC",83.6121456153226
6,2017-06-24,17.341,"EC",90.0583604510293
13,2017-06-24,17.341,"EC",114.213905729896
18,2017-06-24,17.341,"EC",96.5131668036137
5,2017-06-24,17.341,"XC",125.204402221949
7,2017-06-24,17.341,"XC",56.7305162989717
24,2017-06-24,17.341,"XC",71.6383948865953
4,2017-08-19,17.397,"CC",91.9980681348839
11,2017-08-19,17.397,"CC",147.376815982112
14,2017-08-19,17.397,"CC",125.625460811465
17,2017-08-19,17.397,"CC",102.731217778163
6,2017-08-19,17.397,"EC",159.015035807867
13,2017-08-19,17.397,"EC",97.4530495477714
18,2017-08-19,17.397,"EC",178.466550741716
5,2017-08-19,17.397,"XC",76.0487749289424
7,2017-08-19,17.397,"XC",156.087928487585
24,2017-08-19,17.397,"XC",115.59431281779
4,2017-09-14,17.423,"CC",213.811208328739
11,2017-09-14,17.423,"CC",147.446626782803
14,2017-09-14,17.423,"CC",122.280112589473
17,2017-09-14,17.423,"CC",175.552526737525
6,2017-09-14,17.423,"EC",169.665326555887
13,2017-09-14,17.423,"EC",141.014204470837
18,2017-09-14,17.423,"EC",162.62418245824
5,2017-09-14,17.423,"XC",158.391379910712
7,2017-09-14,17.423,"XC",224.265813804586
24,2017-09-14,17.423,"XC",131.339298615896
4,2017-10-21,17.46,"CC",95.776592364898
11,2017-10-21,17.46,"CC",119.293019508022
14,2017-10-21,17.46,"CC",60.1668223495481
17,2017-10-21,17.46,"CC",74.1881912034618
6,2017-10-21,17.46,"EC",101.293816663418
13,2017-10-21,17.46,"EC",34.7741547314895
18,2017-10-21,17.46,"EC",104.115710705682
5,2017-10-21,17.46,"XC",129.763579239742
7,2017-10-21,17.46,"XC",217.439927454011
24,2017-10-21,17.46,"XC",147.41575286207
4,2017-11-18,17.488,"CC",61.7405163481382
11,2017-11-18,17.488,"CC",93.2825108272199
14,2017-11-18,17.488,"CC",81.7522254689271
17,2017-11-18,17.488,"CC",97.4990965999093
6,2017-11-18,17.488,"EC",130.997625270436
13,2017-11-18,17.488,"EC",45.6354567911131
18,2017-11-18,17.488,"EC",82.9890899790208
5,2017-11-18,17.488,"XC",104.612669827293
7,2017-11-18,17.488,"XC",95.1884965506161
24,2017-11-18,17.488,"XC",112.91208066983
4,2018-03-24,17.614,"CC",43.513282532853
11,2018-03-24,17.614,"CC",158.827468587492
14,2018-03-24,17.614,"CC",70.9651963419447
17,2018-03-24,17.614,"CC",58.45803646271
6,2018-03-24,17.614,"EC",79.6142976619906
13,2018-03-24,17.614,"EC",34.8470256913446
18,2018-03-24,17.614,"EC",165.613095615756
5,2018-03-24,17.614,"XC",53.2457355450054
7,2018-03-24,17.614,"XC",45.4249252650651
24,2018-03-24,17.614,"XC",67.0307321327928
4,2018-04-14,17.635,"CC",40.9129857817216
11,2018-04-14,17.635,"CC",198.023935425767
14,2018-04-14,17.635,"CC",85.1460419510447
17,2018-04-14,17.635,"CC",53.0985417917275
6,2018-04-14,17.635,"EC",111.546433422206
13,2018-04-14,17.635,"EC",91.2810702576924
18,2018-04-14,17.635,"EC",180.856332915752
5,2018-04-14,17.635,"XC",60.0224843363223
7,2018-04-14,17.635,"XC",95.6440900058948
24,2018-04-14,17.635,"XC",63.0834955794195
4,2018-05-19,17.67,"CC",56.8468354125464
11,2018-05-19,17.67,"CC",100.911068141391
14,2018-05-19,17.67,"CC",112.976649411233
17,2018-05-19,17.67,"CC",68.3846855057625
6,2018-05-19,17.67,"EC",69.9886958426344
13,2018-05-19,17.67,"EC",51.1784155625282
18,2018-05-19,17.67,"EC",53.9523737715526
5,2018-05-19,17.67,"XC",73.610379781541
7,2018-05-19,17.67,"XC",103.295452328885
24,2018-05-19,17.67,"XC",62.401792334228
