"plot","year","season","ambr arte","astr allo","astr nutt","bail mult","chae stev","chen frem","cryp cras","cryp micr","desc pinn","eria diff","erig dive","erio aber","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","lapp redo","lepi lasi","lesq gord","lupi conc","mala fend","micr lene","oeno prim","phac ariz","plag ariz","plan purs","sper echi","step exig","vulp octo","treat_before","treat_after","flip_type"
1,2015,"winter",0,2,36,0,0,0,1,0,59,1,4,0,16,0,0,0,0,23,43,0,0,0,0,0,32,6,1,43,0,0,"control","removal","control-removal"
1,2013,"winter",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"control","removal","control-removal"
1,2012,"winter",0,0,82,0,1,0,0,2,37,1,0,0,162,0,1,2,0,0,6,0,0,2,0,0,13,5,5,17,0,0,"control","removal","control-removal"
1,2014,"winter",0,1,24,0,0,0,0,4,42,6,0,0,23,0,1,1,0,0,12,0,0,0,0,0,43,2,0,15,0,0,"control","removal","control-removal"
1,2008,"winter",0,0,7,0,0,0,12,1,1,1,7,6,390,0,0,0,6,0,0,0,0,0,0,1,0,0,2,11,0,12,"control","removal","control-removal"
2,2012,"winter",0,0,5,0,0,0,0,4,52,3,0,0,64,0,9,5,0,1,0,0,0,0,0,2,43,0,1,33,0,0,"control","exclosure","control-exclosure"
2,2013,"winter",0,0,1,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"control","exclosure","control-exclosure"
2,2015,"winter",0,0,2,0,2,0,0,17,62,4,0,0,2,0,0,1,0,4,0,0,0,0,0,2,17,0,0,13,0,0,"control","exclosure","control-exclosure"
2,2008,"winter",0,0,0,0,0,0,3,0,18,0,0,3,140,0,2,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"control","exclosure","control-exclosure"
2,2014,"winter",0,0,1,0,0,0,0,3,81,2,0,0,7,0,15,5,0,0,0,0,0,0,0,0,58,0,2,14,0,0,"control","exclosure","control-exclosure"
3,2015,"winter",0,0,64,0,1,0,1,0,15,0,0,1,66,0,0,0,0,0,7,43,0,0,0,5,0,0,13,0,0,0,"exclosure","exclosure","exclosure"
3,2013,"winter",0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
3,2012,"winter",0,0,369,0,2,0,0,0,5,0,0,0,141,0,0,0,0,2,0,7,0,0,0,4,21,0,2,0,0,0,"exclosure","exclosure","exclosure"
3,2014,"winter",0,0,40,0,2,0,0,0,16,0,0,0,77,0,0,0,0,0,0,6,0,0,0,0,2,0,1,1,0,0,"exclosure","exclosure","exclosure"
3,2008,"winter",0,0,35,0,0,0,0,0,18,1,0,2,462,0,0,4,2,0,0,2,0,0,0,0,0,0,15,0,0,0,"exclosure","exclosure","exclosure"
4,2015,"winter",0,0,75,0,80,0,0,0,0,0,0,2,8,0,0,0,0,0,0,39,0,0,0,2,2,0,4,0,0,0,"control","control","control"
4,2012,"winter",0,0,367,0,36,0,0,0,3,0,0,0,133,0,0,0,0,0,0,41,1,0,0,2,2,0,2,0,0,0,"control","control","control"
4,2013,"winter",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"control","control","control"
4,2014,"winter",0,0,100,0,51,0,0,0,2,0,0,0,29,0,0,0,0,0,0,70,0,0,0,1,0,0,0,0,0,0,"control","control","control"
4,2008,"winter",0,0,36,0,1,0,0,0,0,1,0,0,419,0,0,1,1,0,0,9,0,0,0,0,0,0,10,0,0,0,"control","control","control"
5,2015,"winter",0,0,85,0,3,0,0,0,11,0,0,0,16,0,0,0,0,0,0,27,0,0,0,6,1,0,0,11,0,0,"removal","control","removal-control"
5,2012,"winter",0,0,407,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,24,2,2,0,6,14,0,0,0,0,1,"removal","control","removal-control"
5,2008,"winter",0,0,49,0,0,0,0,0,0,0,0,6,181,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,"removal","control","removal-control"
5,2014,"winter",0,0,154,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,22,0,1,0,0,3,0,0,1,0,0,"removal","control","removal-control"
6,2015,"winter",0,1,54,0,11,0,4,0,9,2,1,0,15,1,0,0,0,0,1,18,0,0,0,8,3,0,2,0,0,0,"exclosure","control","exclosure-control"
6,2012,"winter",0,0,252,0,9,0,0,0,21,7,0,0,63,0,0,18,0,0,0,13,2,3,0,3,37,0,2,1,0,4,"exclosure","control","exclosure-control"
6,2014,"winter",0,0,23,0,17,0,0,0,26,3,0,0,9,0,0,0,0,0,0,12,0,0,0,0,18,0,0,1,0,0,"exclosure","control","exclosure-control"
6,2008,"winter",0,0,15,0,2,0,5,0,5,1,0,2,81,0,0,1,80,0,0,0,0,0,0,0,0,0,4,0,0,1,"exclosure","control","exclosure-control"
6,2013,"winter",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","control","exclosure-control"
7,2013,"winter",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"removal","control","removal-control"
7,2014,"winter",0,0,121,0,2,0,0,0,3,0,0,0,20,0,0,0,0,0,12,94,0,0,0,0,3,0,0,0,0,0,"removal","control","removal-control"
7,2015,"winter",0,0,139,0,0,0,0,0,11,0,0,3,67,0,0,0,0,0,52,53,0,0,0,1,0,0,0,0,0,0,"removal","control","removal-control"
7,2012,"winter",0,0,1037,0,0,0,0,0,10,0,0,0,89,0,0,0,0,0,105,126,0,1,0,0,3,0,2,0,0,0,"removal","control","removal-control"
7,2008,"winter",0,0,49,0,0,0,0,0,2,0,0,2,488,0,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,0,"removal","control","removal-control"
8,2008,"winter",0,0,7,3,1,0,0,1,17,0,12,5,329,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"control","exclosure","control-exclosure"
8,2013,"winter",0,0,2,0,2,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"control","exclosure","control-exclosure"
8,2014,"winter",0,0,64,0,1,0,0,1,68,22,0,0,22,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,"control","exclosure","control-exclosure"
8,2012,"winter",1,0,356,0,2,0,1,1,23,15,0,0,102,0,0,2,0,0,1,0,0,1,0,1,4,0,1,1,0,0,"control","exclosure","control-exclosure"
8,2015,"winter",0,0,54,0,7,0,0,0,45,30,3,15,9,0,0,0,0,0,1,0,0,0,1,2,11,0,3,3,0,0,"control","exclosure","control-exclosure"
9,2008,"winter",0,0,4,0,1,0,0,1,0,9,22,0,31,0,1,0,197,0,0,0,0,0,0,0,0,0,3,5,0,2,"control","removal","control-removal"
9,2013,"winter",0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"control","removal","control-removal"
9,2015,"winter",0,1,10,0,2,0,0,7,17,15,3,3,0,0,1,1,0,2,2,0,0,0,0,1,0,0,5,7,0,0,"control","removal","control-removal"
9,2014,"winter",0,0,3,0,15,0,0,17,29,32,0,0,2,0,5,1,0,1,0,0,0,3,0,0,3,0,1,3,0,0,"control","removal","control-removal"
9,2012,"winter",2,0,14,0,2,0,0,7,13,25,0,0,9,0,4,4,0,2,1,0,0,0,2,0,2,0,2,6,0,2,"control","removal","control-removal"
10,2008,"winter",0,0,123,0,1,0,0,0,1,0,0,2,573,7,0,0,2,0,0,3,0,0,0,1,0,0,1,0,0,0,"removal","removal","removal"
10,2014,"winter",0,0,192,0,3,0,0,0,2,0,0,0,76,0,0,0,0,0,0,89,0,1,0,0,3,0,1,1,0,0,"removal","removal","removal"
10,2013,"winter",0,0,4,0,6,0,0,0,0,0,0,0,29,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,"removal","removal","removal"
10,2015,"winter",1,0,92,0,3,0,0,0,2,0,0,26,63,0,0,0,0,0,0,40,2,0,0,4,0,0,3,0,0,0,"removal","removal","removal"
10,2012,"winter",0,0,247,0,1,0,0,0,0,0,0,0,166,0,1,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,"removal","removal","removal"
11,2008,"winter",0,0,2,0,5,0,0,2,25,4,0,1,312,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,"control","control","control"
11,2015,"winter",0,0,44,0,4,0,0,0,13,2,0,5,8,0,0,0,0,0,0,41,0,0,0,1,6,0,2,0,0,0,"control","control","control"
11,2014,"winter",0,0,17,0,20,0,0,0,7,2,0,0,5,0,0,0,0,0,0,15,0,1,0,0,28,0,1,0,0,0,"control","control","control"
11,2012,"winter",2,0,199,0,27,0,1,1,10,1,0,0,89,0,0,0,0,0,0,33,0,0,0,1,32,0,3,0,0,0,"control","control","control"
12,2008,"winter",0,0,0,0,6,0,7,0,78,3,0,1,126,0,0,0,6,0,0,16,0,0,0,0,0,0,4,0,0,1,"control","removal","control-removal"
12,2015,"winter",0,0,13,0,14,0,0,0,13,3,0,0,0,0,0,0,0,0,4,85,0,0,0,2,15,0,2,0,0,0,"control","removal","control-removal"
12,2014,"winter",0,0,8,0,49,0,0,0,21,1,0,0,8,0,0,0,0,0,0,34,0,0,0,1,22,0,1,0,0,0,"control","removal","control-removal"
12,2013,"winter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"control","removal","control-removal"
12,2012,"winter",2,0,153,0,59,0,0,0,29,2,0,0,108,0,1,0,0,3,4,136,0,0,0,2,26,0,2,0,0,0,"control","removal","control-removal"
13,2015,"winter",0,1,71,2,6,0,0,0,24,10,0,104,32,0,0,0,0,0,5,0,0,0,0,5,3,0,2,0,0,0,"exclosure","control","exclosure-control"
13,2014,"winter",0,0,133,0,28,0,0,0,45,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,"exclosure","control","exclosure-control"
13,2013,"winter",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","control","exclosure-control"
13,2012,"winter",0,0,691,0,12,0,0,0,14,2,0,0,76,0,1,1,0,3,0,1,0,2,0,2,21,0,4,0,0,0,"exclosure","control","exclosure-control"
13,2008,"winter",0,0,48,2,1,0,0,0,0,0,0,7,375,0,0,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,"exclosure","control","exclosure-control"
14,2015,"winter",0,0,26,2,32,0,0,0,8,1,0,0,0,0,0,0,0,0,24,5,3,0,0,2,21,0,0,0,0,0,"control","control","control"
14,2012,"winter",0,0,134,0,21,0,1,0,9,1,0,0,33,0,1,0,0,47,6,3,4,0,1,1,51,1,1,5,0,0,"control","control","control"
14,2014,"winter",0,0,63,0,33,0,0,0,6,0,0,0,4,0,1,0,0,0,14,0,3,1,0,1,87,0,1,0,0,0,"control","control","control"
14,2008,"winter",0,0,10,0,8,0,0,0,0,1,0,2,141,0,0,0,1,0,0,1,0,0,0,0,0,0,17,0,0,0,"control","control","control"
14,2013,"winter",0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"control","control","control"
15,2015,"winter",0,0,56,1,0,0,0,0,2,0,0,22,5,0,0,0,0,0,0,33,0,0,0,3,1,0,1,0,0,0,"exclosure","exclosure","exclosure"
15,2014,"winter",0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,"exclosure","exclosure","exclosure"
15,2012,"winter",0,0,317,0,6,0,0,0,15,1,0,0,64,0,6,0,0,2,0,28,2,0,0,1,36,0,59,2,0,0,"exclosure","exclosure","exclosure"
15,2008,"winter",0,0,87,0,3,4,0,0,0,0,0,5,191,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,"exclosure","exclosure","exclosure"
16,2015,"winter",0,0,82,0,5,0,0,0,6,0,2,43,29,0,0,0,0,0,2,1,0,0,0,2,3,0,12,1,0,0,"removal","removal","removal"
16,2012,"winter",0,0,767,0,1,0,0,0,4,1,0,0,203,0,2,0,0,3,0,2,0,0,0,0,4,0,5,1,0,0,"removal","removal","removal"
16,2014,"winter",0,0,485,0,1,0,0,0,6,0,0,0,55,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,"removal","removal","removal"
16,2008,"winter",0,0,291,0,0,0,4,0,6,0,3,1,510,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,"removal","removal","removal"
16,2013,"winter",0,0,49,0,5,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"removal","removal","removal"
17,2015,"winter",0,0,23,0,8,0,0,0,14,3,0,2,3,0,0,0,0,0,1,47,0,0,0,1,0,0,0,0,0,0,"control","control","control"
17,2012,"winter",0,0,435,0,40,0,0,0,5,1,0,0,55,0,0,0,0,4,0,97,0,0,0,2,2,0,1,0,0,0,"control","control","control"
17,2008,"winter",0,0,50,0,8,0,0,0,3,0,0,0,135,0,0,0,15,0,2,12,0,0,0,0,0,0,1,0,0,0,"control","control","control"
17,2013,"winter",0,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,"control","control","control"
17,2014,"winter",0,0,41,0,143,0,0,0,12,0,0,0,11,0,0,0,0,0,1,44,0,0,0,0,2,0,0,0,0,0,"control","control","control"
18,2012,"winter",1,0,216,0,108,0,0,0,12,28,0,0,124,0,1,0,0,19,23,22,0,0,0,0,10,0,31,0,0,0,"exclosure","control","exclosure-control"
18,2013,"winter",0,0,2,0,68,0,0,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","control","exclosure-control"
18,2008,"winter",0,0,9,0,9,0,0,0,1,1,1,1,395,0,0,0,31,0,5,3,0,0,0,0,0,0,214,0,0,0,"exclosure","control","exclosure-control"
18,2014,"winter",0,0,51,0,88,0,0,0,8,9,0,0,32,0,0,0,0,0,18,3,1,0,0,0,8,0,3,0,0,0,"exclosure","control","exclosure-control"
18,2015,"winter",0,0,12,0,10,0,0,0,5,9,1,0,8,0,0,0,0,0,5,14,0,0,0,0,0,0,5,0,0,0,"exclosure","control","exclosure-control"
19,2012,"winter",0,0,255,0,55,0,0,0,20,0,0,0,88,0,1,0,0,1,6,33,0,0,0,0,6,0,24,0,0,0,"exclosure","exclosure","exclosure"
19,2013,"winter",0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
19,2014,"winter",0,0,24,0,53,0,0,0,13,2,0,0,27,0,0,0,0,0,4,11,0,0,0,0,7,0,3,0,0,0,"exclosure","exclosure","exclosure"
19,2008,"winter",0,0,63,0,8,0,0,0,8,1,0,2,308,0,0,0,9,0,0,0,0,0,0,0,0,0,58,0,0,0,"exclosure","exclosure","exclosure"
19,2015,"winter",0,0,23,0,15,0,0,0,2,2,0,0,17,0,0,0,0,0,3,46,0,0,0,1,3,0,7,0,0,0,"exclosure","exclosure","exclosure"
20,2012,"winter",0,0,390,0,5,0,0,0,5,0,0,0,188,0,8,0,0,0,2,2,0,0,0,2,10,0,4,1,0,0,"exclosure","exclosure","exclosure"
20,2013,"winter",0,0,10,0,10,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
20,2008,"winter",0,0,46,0,10,0,2,1,1,10,0,0,236,0,1,1,0,0,1,3,0,0,0,0,1,0,3,0,0,0,"exclosure","exclosure","exclosure"
20,2015,"winter",2,0,61,0,15,0,0,0,13,1,0,2,17,0,2,0,0,0,4,9,0,0,0,1,0,0,0,3,0,0,"exclosure","exclosure","exclosure"
20,2014,"winter",0,0,95,0,33,0,0,0,7,2,0,0,48,0,8,0,0,0,6,6,0,1,0,0,1,0,1,1,0,0,"exclosure","exclosure","exclosure"
21,2013,"winter",0,0,25,0,30,0,0,0,1,0,0,0,56,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2012,"winter",0,0,394,0,0,0,0,0,22,0,0,0,211,0,14,0,0,0,2,34,0,0,0,1,12,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2008,"winter",0,0,66,0,6,0,0,0,34,0,3,2,449,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2015,"winter",0,0,46,0,17,0,0,0,19,4,0,23,6,0,14,0,0,0,3,78,1,0,0,3,0,0,0,2,0,0,"exclosure","exclosure","exclosure"
21,2014,"winter",0,0,93,0,11,0,0,0,80,1,0,0,46,0,17,0,0,0,0,118,0,1,0,1,10,0,0,0,0,0,"exclosure","exclosure","exclosure"
22,2013,"winter",0,0,10,0,5,0,0,0,1,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"control","exclosure","control-exclosure"
22,2008,"winter",0,0,6,0,0,0,0,1,2,0,0,3,362,0,2,1,3,0,0,0,0,0,0,0,0,0,13,1,0,5,"control","exclosure","control-exclosure"
22,2012,"winter",0,0,204,0,0,0,1,0,22,0,0,0,255,0,84,0,0,0,3,0,1,0,0,0,19,0,1,6,0,1,"control","exclosure","control-exclosure"
22,2014,"winter",0,0,130,0,8,0,0,0,17,7,0,0,89,0,62,0,0,1,23,0,0,0,0,0,9,0,0,3,0,1,"control","exclosure","control-exclosure"
22,2015,"winter",0,0,18,0,8,0,1,0,38,19,1,144,9,0,10,0,0,0,41,1,0,0,0,1,4,0,1,0,0,1,"control","exclosure","control-exclosure"
23,2015,"winter",0,0,96,0,8,0,0,0,9,6,0,0,29,0,0,0,0,0,0,54,0,0,0,0,1,0,36,0,0,0,"removal","removal","removal"
23,2008,"winter",0,0,153,0,5,0,0,0,4,0,0,2,382,8,0,0,2,0,0,16,0,0,0,0,0,0,28,0,0,0,"removal","removal","removal"
23,2013,"winter",0,0,2,0,19,0,0,0,0,0,0,0,90,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,"removal","removal","removal"
23,2012,"winter",0,0,827,0,10,0,0,0,66,0,0,0,178,0,6,0,0,0,0,30,0,0,0,0,1,0,8,4,0,0,"removal","removal","removal"
23,2014,"winter",0,0,292,0,17,0,0,0,5,1,0,0,70,0,1,0,0,0,0,32,0,0,0,0,3,0,5,0,0,0,"removal","removal","removal"
24,2012,"winter",0,0,74,0,26,0,0,0,13,1,0,0,42,0,0,0,0,0,0,42,0,0,0,2,13,0,15,0,0,0,"removal","control","removal-control"
24,2008,"winter",0,0,13,0,2,0,0,0,5,0,0,1,176,0,0,0,0,0,0,2,0,0,0,0,0,0,65,0,0,0,"removal","control","removal-control"
24,2013,"winter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"removal","control","removal-control"
24,2015,"winter",0,1,46,1,2,0,2,0,9,1,0,0,16,0,0,0,0,0,1,58,0,0,0,0,1,0,6,0,0,0,"removal","control","removal-control"
24,2014,"winter",0,0,4,0,9,0,0,0,15,4,0,0,13,0,0,0,0,0,0,16,0,0,0,0,5,0,1,0,0,0,"removal","control","removal-control"
